ProductionLogID,ProductionOrderID,MachineID,OperatorID,LogDate,ShiftStartTime,ShiftEndTime,UnitsProduced,UnitsScrapped,DowntimeMinutes,Notes
42,466,10,49,2024-07-21,2024-07-21 06:00:00,2024-07-21 14:00:00,53.83,3.25,8,
43,284,2,51,2025-05-26,2025-05-26 14:00:00,2025-05-26 22:00:00,135.55,1.74,16,Minor tooling adjustment required.
44,153,22,54,2024-02-12,2024-02-12 22:00:00,2024-02-13 06:00:00,12.0,0.16,17,Quality hold pending inspection.
45,471,19,48,2024-12-25,2024-12-25 06:00:00,2024-12-25 14:00:00,102.79,5.67,5,Operator changeover mid-shift.
46,259,12,56,2025-10-26,2025-10-26 22:00:00,2025-10-27 06:00:00,133.18,1.29,12,Minor tooling adjustment required.
47,155,12,27,2023-06-27,2023-06-27 14:00:00,2023-06-27 22:00:00,90.87,12.62,0,Unscheduled machine downtime.
48,316,31,2,2025-07-28,2025-07-28 22:00:00,2025-07-29 06:00:00,75.55,12.38,10,
49,170,14,51,2025-03-11,2025-03-11 06:00:00,2025-03-11 14:00:00,32.51,0.05,10,
50,244,21,69,2023-03-08,2023-03-08 06:00:00,2023-03-08 14:00:00,94.78,0.36,126,Operator changeover mid-shift.
51,61,5,33,2023-04-01,2023-04-01 06:00:00,2023-04-01 14:00:00,131.14,0.12,3,
52,364,33,60,2024-12-11,2024-12-11 22:00:00,2024-12-12 06:00:00,96.19,2.41,7,Material shortage caused brief stoppage.
53,80,20,60,2025-11-23,2025-11-23 14:00:00,2025-11-23 22:00:00,24.79,0.54,7,
54,411,25,17,2024-01-04,2024-01-04 22:00:00,2024-01-05 06:00:00,49.5,1.47,18,Quality hold pending inspection.
55,192,16,24,2025-10-08,2025-10-08 06:00:00,2025-10-08 14:00:00,103.09,8.94,13,
56,13,15,56,2023-07-02,2023-07-02 06:00:00,2023-07-02 14:00:00,92.16,1.92,162,Unscheduled machine downtime.
57,479,31,37,2025-06-11,2025-06-11 22:00:00,2025-06-12 06:00:00,20.86,0.51,9,
58,87,15,46,2024-06-27,2024-06-27 06:00:00,2024-06-27 14:00:00,74.46,0.62,7,
59,123,17,48,2024-04-21,2024-04-21 22:00:00,2024-04-22 06:00:00,102.47,1.2,51,Operator changeover mid-shift.
60,121,34,40,2025-03-17,2025-03-17 06:00:00,2025-03-17 14:00:00,43.86,2.93,8,Operator changeover mid-shift.
61,32,5,51,2024-11-06,2024-11-06 22:00:00,2024-11-07 06:00:00,128.42,14.26,10,
62,163,7,25,2024-09-09,2024-09-09 14:00:00,2024-09-09 22:00:00,70.53,1.82,141,Operator changeover mid-shift.
63,386,20,61,2025-07-03,2025-07-03 22:00:00,2025-07-04 06:00:00,76.65,2.03,4,Unscheduled machine downtime.
64,467,1,38,2025-02-08,2025-02-08 22:00:00,2025-02-09 06:00:00,97.79,2.89,0,
65,138,17,51,2025-12-07,2025-12-07 14:00:00,2025-12-07 22:00:00,87.9,0.73,13,Unscheduled machine downtime.
66,266,14,26,2025-08-12,2025-08-12 22:00:00,2025-08-13 06:00:00,56.65,1.14,10,Minor tooling adjustment required.
67,406,6,58,2023-07-08,2023-07-08 14:00:00,2023-07-08 22:00:00,79.57,1.44,18,Operator changeover mid-shift.
68,281,13,65,2023-03-04,2023-03-04 14:00:00,2023-03-04 22:00:00,125.82,0.27,91,Material shortage caused brief stoppage.
69,303,2,67,2023-12-17,2023-12-17 14:00:00,2023-12-17 22:00:00,89.84,0.22,15,Material shortage caused brief stoppage.
70,380,31,79,2024-11-12,2024-11-12 06:00:00,2024-11-12 14:00:00,53.28,1.06,18,Quality hold pending inspection.
71,79,9,64,2023-08-28,2023-08-28 22:00:00,2023-08-29 06:00:00,32.94,0.55,12,Quality hold pending inspection.
72,382,1,4,2023-02-27,2023-02-27 14:00:00,2023-02-27 22:00:00,17.13,0.48,7,Material shortage caused brief stoppage.
73,407,4,68,2024-07-15,2024-07-15 14:00:00,2024-07-15 22:00:00,79.21,1.81,0,Quality hold pending inspection.
74,308,16,56,2023-06-06,2023-06-06 14:00:00,2023-06-06 22:00:00,60.64,1.06,16,
75,261,22,58,2024-04-04,2024-04-04 22:00:00,2024-04-05 06:00:00,107.06,3.04,7,Unscheduled machine downtime.
76,77,11,15,2023-10-10,2023-10-10 14:00:00,2023-10-10 22:00:00,114.04,0.26,99,Operator changeover mid-shift.
77,150,3,12,2023-04-18,2023-04-18 22:00:00,2023-04-19 06:00:00,99.15,16.59,3,
78,377,11,78,2024-06-23,2024-06-23 22:00:00,2024-06-24 06:00:00,90.1,1.32,4,Unscheduled machine downtime.
79,130,21,18,2023-03-19,2023-03-19 22:00:00,2023-03-20 06:00:00,82.11,12.25,2,
80,375,9,15,2024-12-30,2024-12-30 06:00:00,2024-12-30 14:00:00,37.67,0.02,13,Unscheduled machine downtime.
81,296,16,25,2025-08-17,2025-08-17 14:00:00,2025-08-17 22:00:00,27.59,3.18,86,Minor tooling adjustment required.
82,288,31,73,2023-06-05,2023-06-05 22:00:00,2023-06-06 06:00:00,5.91,0.45,11,Material shortage caused brief stoppage.
83,76,3,13,2024-11-16,2024-11-16 14:00:00,2024-11-16 22:00:00,132.49,0.33,4,Quality hold pending inspection.
84,240,4,43,2023-07-06,2023-07-06 14:00:00,2023-07-06 22:00:00,103.69,2.82,13,Minor tooling adjustment required.
85,465,8,77,2025-11-15,2025-11-15 06:00:00,2025-11-15 14:00:00,32.44,0.23,181,Minor tooling adjustment required.
86,195,34,53,2024-02-13,2024-02-13 22:00:00,2024-02-14 06:00:00,65.8,1.26,0,Unscheduled machine downtime.
87,471,14,53,2024-12-11,2024-12-11 14:00:00,2024-12-11 22:00:00,40.88,1.1,79,Material shortage caused brief stoppage.
88,221,4,45,2023-07-01,2023-07-01 14:00:00,2023-07-01 22:00:00,133.53,2.58,17,Material shortage caused brief stoppage.
89,368,3,75,2024-11-19,2024-11-19 06:00:00,2024-11-19 14:00:00,17.14,0.5,1,
90,203,21,69,2023-05-01,2023-05-01 06:00:00,2023-05-01 14:00:00,41.65,0.46,18,Material shortage caused brief stoppage.
91,6,27,8,2023-09-13,2023-09-13 14:00:00,2023-09-13 22:00:00,39.8,0.24,15,Minor tooling adjustment required.
92,416,16,43,2023-11-20,2023-11-20 14:00:00,2023-11-20 22:00:00,16.08,0.17,7,Material shortage caused brief stoppage.
93,216,32,75,2023-02-20,2023-02-20 22:00:00,2023-02-21 06:00:00,143.83,3.27,4,Quality hold pending inspection.
94,362,31,56,2024-12-19,2024-12-19 22:00:00,2024-12-20 06:00:00,135.32,2.1,4,Unscheduled machine downtime.
95,389,10,41,2025-06-05,2025-06-05 14:00:00,2025-06-05 22:00:00,54.45,0.81,2,Unscheduled machine downtime.
96,496,17,69,2024-05-03,2024-05-03 06:00:00,2024-05-03 14:00:00,31.09,0.49,10,Operator changeover mid-shift.
97,291,35,8,2025-10-10,2025-10-10 14:00:00,2025-10-10 22:00:00,125.52,3.22,6,
98,65,29,55,2024-09-26,2024-09-26 06:00:00,2024-09-26 14:00:00,120.66,14.55,6,Material shortage caused brief stoppage.
99,200,32,48,2023-06-27,2023-06-27 06:00:00,2023-06-27 14:00:00,66.69,1.06,13,Unscheduled machine downtime.
100,290,31,34,2025-04-11,2025-04-11 22:00:00,2025-04-12 06:00:00,110.12,6.66,189,
101,423,8,20,2023-04-18,2023-04-18 14:00:00,2023-04-18 22:00:00,36.98,0.59,4,Minor tooling adjustment required.
102,148,31,3,2025-11-24,2025-11-24 06:00:00,2025-11-24 14:00:00,38.08,0.41,5,Minor tooling adjustment required.
103,237,27,66,2024-07-14,2024-07-14 14:00:00,2024-07-14 22:00:00,52.46,0.69,0,Unscheduled machine downtime.
104,245,5,49,2024-05-12,2024-05-12 22:00:00,2024-05-13 06:00:00,27.86,2.23,46,
105,97,15,31,2025-03-19,2025-03-19 14:00:00,2025-03-19 22:00:00,87.79,2.24,222,
106,248,25,28,2024-04-06,2024-04-06 06:00:00,2024-04-06 14:00:00,134.42,3.56,17,Material shortage caused brief stoppage.
107,269,30,20,2023-02-17,2023-02-17 06:00:00,2023-02-17 14:00:00,62.57,0.29,3,
108,174,31,40,2025-05-08,2025-05-08 14:00:00,2025-05-08 22:00:00,60.93,0.36,0,
109,441,12,40,2024-01-15,2024-01-15 06:00:00,2024-01-15 14:00:00,132.86,3.54,5,Operator changeover mid-shift.
110,325,15,78,2023-12-02,2023-12-02 14:00:00,2023-12-02 22:00:00,39.66,0.49,3,
111,321,22,45,2025-04-28,2025-04-28 22:00:00,2025-04-29 06:00:00,92.14,1.78,7,Material shortage caused brief stoppage.
112,89,1,79,2024-02-06,2024-02-06 14:00:00,2024-02-06 22:00:00,47.49,0.09,16,Minor tooling adjustment required.
113,313,4,8,2023-07-22,2023-07-22 14:00:00,2023-07-22 22:00:00,62.94,1.0,17,Quality hold pending inspection.
114,281,14,44,2023-03-03,2023-03-03 14:00:00,2023-03-03 22:00:00,111.23,16.38,16,
115,206,30,24,2025-07-14,2025-07-14 14:00:00,2025-07-14 22:00:00,127.18,1.52,115,Minor tooling adjustment required.
116,459,30,45,2024-10-29,2024-10-29 06:00:00,2024-10-29 14:00:00,71.55,1.39,15,
117,58,28,44,2024-05-24,2024-05-24 22:00:00,2024-05-25 06:00:00,9.99,0.23,229,Quality hold pending inspection.
118,303,8,2,2023-12-15,2023-12-15 22:00:00,2023-12-16 06:00:00,147.69,0.14,2,Minor tooling adjustment required.
119,96,17,1,2023-01-11,2023-01-11 06:00:00,2023-01-11 14:00:00,25.82,0.33,5,
120,250,6,41,2024-03-29,2024-03-29 06:00:00,2024-03-29 14:00:00,11.06,0.16,15,Unscheduled machine downtime.
121,389,5,19,2025-06-16,2025-06-16 06:00:00,2025-06-16 14:00:00,119.58,0.46,2,Material shortage caused brief stoppage.
122,325,1,1,2023-12-12,2023-12-12 14:00:00,2023-12-12 22:00:00,14.55,0.02,17,Material shortage caused brief stoppage.
123,4,29,71,2025-03-25,2025-03-25 06:00:00,2025-03-25 14:00:00,83.27,1.98,15,
124,445,24,68,2025-08-04,2025-08-04 06:00:00,2025-08-04 14:00:00,123.86,1.36,175,Quality hold pending inspection.
125,368,27,7,2024-11-22,2024-11-22 06:00:00,2024-11-22 14:00:00,25.22,0.11,12,Operator changeover mid-shift.
126,358,17,6,2025-12-02,2025-12-02 06:00:00,2025-12-02 14:00:00,27.56,0.23,6,Unscheduled machine downtime.
127,414,13,5,2025-02-04,2025-02-04 06:00:00,2025-02-04 14:00:00,138.29,3.97,120,
128,179,24,27,2025-10-04,2025-10-04 06:00:00,2025-10-04 14:00:00,144.18,18.7,3,
129,232,33,22,2023-11-02,2023-11-02 06:00:00,2023-11-02 14:00:00,21.27,0.38,7,Minor tooling adjustment required.
130,113,32,16,2025-09-23,2025-09-23 14:00:00,2025-09-23 22:00:00,101.14,0.03,11,Operator changeover mid-shift.
131,71,27,71,2024-12-31,2024-12-31 22:00:00,2025-01-01 06:00:00,73.68,1.09,7,
132,338,20,72,2024-03-30,2024-03-30 14:00:00,2024-03-30 22:00:00,135.45,17.26,9,
133,148,16,29,2025-11-09,2025-11-09 06:00:00,2025-11-09 14:00:00,9.33,0.24,184,Unscheduled machine downtime.
134,417,7,41,2024-01-18,2024-01-18 06:00:00,2024-01-18 14:00:00,30.39,0.05,15,Operator changeover mid-shift.
135,26,11,39,2023-07-12,2023-07-12 22:00:00,2023-07-13 06:00:00,116.02,0.82,5,Quality hold pending inspection.
136,157,31,73,2023-09-20,2023-09-20 22:00:00,2023-09-21 06:00:00,137.17,24.87,9,
137,488,23,46,2023-03-31,2023-03-31 22:00:00,2023-04-01 06:00:00,16.5,0.47,2,
138,118,23,75,2025-02-15,2025-02-15 06:00:00,2025-02-15 14:00:00,78.26,2.06,4,Quality hold pending inspection.
139,455,35,3,2025-09-16,2025-09-16 14:00:00,2025-09-16 22:00:00,25.69,0.18,52,Quality hold pending inspection.
140,260,7,59,2023-12-20,2023-12-20 14:00:00,2023-12-20 22:00:00,98.81,1.04,42,Operator changeover mid-shift.
141,458,15,79,2023-05-23,2023-05-23 22:00:00,2023-05-24 06:00:00,126.21,1.72,206,Minor tooling adjustment required.
142,223,20,77,2024-12-10,2024-12-10 22:00:00,2024-12-11 06:00:00,59.24,1.71,163,Unscheduled machine downtime.
143,415,9,7,2023-09-29,2023-09-29 06:00:00,2023-09-29 14:00:00,111.35,2.76,15,Minor tooling adjustment required.
144,458,4,39,2023-05-18,2023-05-18 06:00:00,2023-05-18 14:00:00,71.78,1.72,17,
145,61,27,68,2023-04-17,2023-04-17 14:00:00,2023-04-17 22:00:00,75.63,1.62,85,
146,125,15,32,2023-07-10,2023-07-10 22:00:00,2023-07-11 06:00:00,129.95,2.18,7,
147,109,19,74,2025-11-24,2025-11-24 06:00:00,2025-11-24 14:00:00,95.83,0.28,57,
148,111,9,36,2024-09-21,2024-09-21 22:00:00,2024-09-22 06:00:00,92.2,1.84,204,Minor tooling adjustment required.
149,250,3,36,2024-04-10,2024-04-10 06:00:00,2024-04-10 14:00:00,6.01,1.18,4,
150,238,22,14,2025-03-16,2025-03-16 22:00:00,2025-03-17 06:00:00,17.22,0.3,17,
151,128,27,36,2024-02-14,2024-02-14 06:00:00,2024-02-14 14:00:00,89.68,0.25,41,
152,379,30,52,2023-12-08,2023-12-08 06:00:00,2023-12-08 14:00:00,55.77,0.88,7,
153,60,2,56,2025-11-03,2025-11-03 22:00:00,2025-11-04 06:00:00,83.45,1.75,11,
154,142,6,14,2023-09-06,2023-09-06 22:00:00,2023-09-07 06:00:00,66.94,0.23,231,Material shortage caused brief stoppage.
155,332,8,22,2024-09-14,2024-09-14 06:00:00,2024-09-14 14:00:00,111.33,0.16,16,
156,193,19,9,2024-12-09,2024-12-09 14:00:00,2024-12-09 22:00:00,63.16,1.44,18,Unscheduled machine downtime.
157,385,27,54,2024-06-12,2024-06-12 22:00:00,2024-06-13 06:00:00,17.77,0.52,238,Material shortage caused brief stoppage.
158,343,24,64,2025-11-29,2025-11-29 06:00:00,2025-11-29 14:00:00,114.94,0.03,1,Unscheduled machine downtime.
159,198,5,30,2024-07-27,2024-07-27 06:00:00,2024-07-27 14:00:00,42.31,0.07,168,Material shortage caused brief stoppage.
160,114,12,77,2025-07-29,2025-07-29 06:00:00,2025-07-29 14:00:00,46.14,1.28,4,Minor tooling adjustment required.
161,432,15,78,2024-03-13,2024-03-13 22:00:00,2024-03-14 06:00:00,93.05,2.48,6,
162,459,10,21,2024-11-05,2024-11-05 22:00:00,2024-11-06 06:00:00,66.78,4.8,17,Minor tooling adjustment required.
163,188,16,36,2023-05-03,2023-05-03 14:00:00,2023-05-03 22:00:00,81.62,0.08,194,Quality hold pending inspection.
164,423,11,35,2023-05-14,2023-05-14 14:00:00,2023-05-14 22:00:00,148.78,3.01,6,Quality hold pending inspection.
165,54,15,74,2025-10-08,2025-10-08 22:00:00,2025-10-09 06:00:00,109.27,2.72,6,
166,216,29,57,2023-03-02,2023-03-02 06:00:00,2023-03-02 14:00:00,127.73,1.52,13,Minor tooling adjustment required.
167,3,9,33,2023-05-01,2023-05-01 22:00:00,2023-05-02 06:00:00,111.6,2.14,7,
168,120,3,2,2023-08-10,2023-08-10 22:00:00,2023-08-11 06:00:00,23.6,0.41,5,
169,341,19,2,2024-02-06,2024-02-06 22:00:00,2024-02-07 06:00:00,122.36,0.32,69,Operator changeover mid-shift.
170,364,25,59,2024-11-28,2024-11-28 22:00:00,2024-11-29 06:00:00,124.85,2.45,16,Operator changeover mid-shift.
171,188,10,62,2023-05-12,2023-05-12 14:00:00,2023-05-12 22:00:00,118.34,2.67,11,Quality hold pending inspection.
172,469,11,74,2025-10-15,2025-10-15 06:00:00,2025-10-15 14:00:00,148.57,1.83,13,
173,68,21,43,2025-08-05,2025-08-05 14:00:00,2025-08-05 22:00:00,113.19,1.28,9,Operator changeover mid-shift.
174,150,13,1,2023-04-04,2023-04-04 14:00:00,2023-04-04 22:00:00,146.32,3.33,10,
175,38,1,28,2024-09-13,2024-09-13 14:00:00,2024-09-13 22:00:00,62.18,1.7,14,
176,131,4,75,2025-10-18,2025-10-18 06:00:00,2025-10-18 14:00:00,64.22,1.19,78,
177,71,15,40,2025-01-11,2025-01-11 22:00:00,2025-01-12 06:00:00,64.6,0.86,14,Minor tooling adjustment required.
178,198,24,50,2024-07-21,2024-07-21 14:00:00,2024-07-21 22:00:00,88.84,1.45,19,Operator changeover mid-shift.
179,103,3,49,2024-08-27,2024-08-27 22:00:00,2024-08-28 06:00:00,21.44,0.48,2,Operator changeover mid-shift.
180,293,19,79,2023-12-06,2023-12-06 06:00:00,2023-12-06 14:00:00,59.01,0.49,18,Material shortage caused brief stoppage.
181,10,20,40,2024-09-12,2024-09-12 14:00:00,2024-09-12 22:00:00,128.5,1.63,17,Operator changeover mid-shift.
182,436,30,13,2023-02-26,2023-02-26 14:00:00,2023-02-26 22:00:00,147.72,0.49,18,Quality hold pending inspection.
183,340,15,7,2023-07-04,2023-07-04 22:00:00,2023-07-05 06:00:00,5.65,0.55,16,
184,71,18,74,2024-12-28,2024-12-28 06:00:00,2024-12-28 14:00:00,30.28,0.73,4,
185,467,22,42,2025-02-05,2025-02-05 14:00:00,2025-02-05 22:00:00,34.26,0.5,4,
186,244,11,80,2023-02-16,2023-02-16 22:00:00,2023-02-17 06:00:00,58.27,1.37,9,
187,447,32,75,2025-08-16,2025-08-16 06:00:00,2025-08-16 14:00:00,102.24,1.41,2,Material shortage caused brief stoppage.
188,138,1,9,2025-11-18,2025-11-18 06:00:00,2025-11-18 14:00:00,148.73,0.24,70,
189,453,34,74,2025-07-02,2025-07-02 14:00:00,2025-07-02 22:00:00,117.5,0.07,59,Quality hold pending inspection.
190,243,28,33,2024-11-19,2024-11-19 06:00:00,2024-11-19 14:00:00,89.65,2.41,6,Operator changeover mid-shift.
191,156,10,15,2024-06-11,2024-06-11 22:00:00,2024-06-12 06:00:00,60.76,0.82,16,Operator changeover mid-shift.
192,299,34,78,2024-10-17,2024-10-17 22:00:00,2024-10-18 06:00:00,10.91,1.87,10,
193,356,32,75,2024-02-19,2024-02-19 22:00:00,2024-02-20 06:00:00,105.96,0.98,109,Quality hold pending inspection.
194,492,19,65,2024-04-26,2024-04-26 06:00:00,2024-04-26 14:00:00,145.71,0.59,15,Unscheduled machine downtime.
195,318,24,61,2024-03-04,2024-03-04 06:00:00,2024-03-04 14:00:00,25.3,0.31,3,
196,66,13,11,2024-07-15,2024-07-15 22:00:00,2024-07-16 06:00:00,70.57,0.85,54,Unscheduled machine downtime.
197,65,26,5,2024-09-30,2024-09-30 22:00:00,2024-10-01 06:00:00,53.62,1.48,195,Unscheduled machine downtime.
198,353,19,71,2025-03-10,2025-03-10 22:00:00,2025-03-11 06:00:00,101.81,2.69,14,
199,161,8,4,2025-07-26,2025-07-26 22:00:00,2025-07-27 06:00:00,7.18,0.15,1,
200,40,20,59,2025-12-02,2025-12-02 14:00:00,2025-12-02 22:00:00,96.12,2.46,211,Unscheduled machine downtime.
201,33,32,31,2024-08-14,2024-08-14 14:00:00,2024-08-14 22:00:00,103.81,3.08,15,Quality hold pending inspection.
202,348,18,66,2025-08-16,2025-08-16 22:00:00,2025-08-17 06:00:00,105.27,19.1,2,
203,361,15,22,2024-10-20,2024-10-20 06:00:00,2024-10-20 14:00:00,78.53,0.24,8,Quality hold pending inspection.
204,437,29,67,2024-09-11,2024-09-11 06:00:00,2024-09-11 14:00:00,5.3,0.13,1,Operator changeover mid-shift.
205,366,16,20,2025-08-26,2025-08-26 22:00:00,2025-08-27 06:00:00,75.04,1.23,17,
206,192,7,48,2025-10-12,2025-10-12 22:00:00,2025-10-13 06:00:00,13.73,0.12,5,Unscheduled machine downtime.
207,232,10,24,2023-10-02,2023-10-02 06:00:00,2023-10-02 14:00:00,28.98,0.17,11,Minor tooling adjustment required.
208,360,6,59,2025-01-18,2025-01-18 06:00:00,2025-01-18 14:00:00,135.76,0.37,10,Unscheduled machine downtime.
209,147,34,67,2023-11-04,2023-11-04 22:00:00,2023-11-05 06:00:00,125.02,2.32,14,Minor tooling adjustment required.
210,86,6,18,2024-07-06,2024-07-06 22:00:00,2024-07-07 06:00:00,147.08,0.37,66,Material shortage caused brief stoppage.
211,77,13,80,2023-10-09,2023-10-09 22:00:00,2023-10-10 06:00:00,59.67,0.62,19,
212,369,34,35,2023-07-14,2023-07-14 22:00:00,2023-07-15 06:00:00,22.65,0.68,14,Unscheduled machine downtime.
213,208,10,57,2024-09-29,2024-09-29 14:00:00,2024-09-29 22:00:00,6.69,0.16,75,Unscheduled machine downtime.
214,246,14,76,2023-01-15,2023-01-15 06:00:00,2023-01-15 14:00:00,111.42,15.98,2,Material shortage caused brief stoppage.
215,286,29,11,2023-07-21,2023-07-21 22:00:00,2023-07-22 06:00:00,77.9,0.41,19,Material shortage caused brief stoppage.
216,202,4,80,2025-04-21,2025-04-21 06:00:00,2025-04-21 14:00:00,135.09,2.86,8,
217,63,3,15,2025-05-02,2025-05-02 14:00:00,2025-05-02 22:00:00,107.83,3.0,8,Minor tooling adjustment required.
218,424,1,25,2025-01-04,2025-01-04 14:00:00,2025-01-04 22:00:00,98.52,0.87,6,
219,224,31,35,2024-04-08,2024-04-08 22:00:00,2024-04-09 06:00:00,58.09,0.5,152,Minor tooling adjustment required.
220,134,8,47,2025-03-30,2025-03-30 22:00:00,2025-03-31 06:00:00,78.91,2.1,126,Quality hold pending inspection.
221,334,24,11,2023-11-06,2023-11-06 22:00:00,2023-11-07 06:00:00,34.6,0.27,147,Unscheduled machine downtime.
222,463,33,52,2023-05-10,2023-05-10 06:00:00,2023-05-10 14:00:00,84.38,14.42,0,Material shortage caused brief stoppage.
223,474,9,12,2023-02-05,2023-02-05 22:00:00,2023-02-06 06:00:00,7.31,0.08,6,Material shortage caused brief stoppage.
224,60,27,32,2025-11-04,2025-11-04 14:00:00,2025-11-04 22:00:00,141.64,0.83,228,Operator changeover mid-shift.
225,46,2,71,2025-02-10,2025-02-10 22:00:00,2025-02-11 06:00:00,43.94,5.6,3,Unscheduled machine downtime.
226,155,15,8,2023-07-19,2023-07-19 22:00:00,2023-07-20 06:00:00,119.13,1.61,203,Minor tooling adjustment required.
227,74,24,42,2025-03-16,2025-03-16 06:00:00,2025-03-16 14:00:00,56.45,1.16,223,Unscheduled machine downtime.
228,303,13,77,2023-12-17,2023-12-17 14:00:00,2023-12-17 22:00:00,47.0,0.23,5,Quality hold pending inspection.
229,93,21,53,2023-11-10,2023-11-10 22:00:00,2023-11-11 06:00:00,83.19,0.66,8,
230,2,19,18,2025-05-23,2025-05-23 22:00:00,2025-05-24 06:00:00,144.74,0.97,3,
