InspectionID,ProductionOrderID,InspectorOperatorID,InspectionDate,InspectionType,Result,DefectCategory,DefectCount,Remarks
61,234,40,2024-12-14 14:09:05,InProcess,Pass,,0,All measured parameters within specification.
62,215,29,2024-09-27 07:42:16,InProcess,Pass,,0,All measured parameters within specification.
63,40,56,2023-03-08 05:06:41,InProcess,Pass,,0,All measured parameters within specification.
64,282,54,2025-07-09 14:33:08,Incoming,Fail,Fastener Torque Non-Conformance,7,Fastener Torque Non-Conformance identified during inspection; see NCR log.
65,122,37,2023-01-03 03:51:39,InProcess,Pass,,0,All measured parameters within specification.
66,59,72,2025-08-16 06:57:34,FinalInspection,Pass,,0,All measured parameters within specification.
67,214,59,2024-08-04 13:38:28,FinalInspection,ReworkRequired,Weld Discontinuity,4,Weld Discontinuity identified during inspection; see NCR log.
68,203,68,2023-03-18 04:03:42,InProcess,ReworkRequired,Material Porosity,12,Material Porosity identified during inspection; see NCR log.
69,200,80,2023-12-13 04:05:12,Incoming,Pass,,0,All measured parameters within specification.
70,1,13,2023-03-11 03:51:05,Incoming,Fail,Foreign Object Debris (FOD),11,Foreign Object Debris (FOD) identified during inspection; see NCR log.
71,368,73,2025-05-06 07:22:38,FinalInspection,Pass,,0,All measured parameters within specification.
72,156,42,2023-09-04 12:29:58,FinalInspection,Fail,Coating Thickness Deviation,9,Coating Thickness Deviation identified during inspection; see NCR log.
73,387,61,2024-03-02 10:57:08,InProcess,Pass,,0,All measured parameters within specification.
74,280,43,2024-12-17 07:19:49,InProcess,Pass,,0,All measured parameters within specification.
75,375,68,2023-06-09 03:51:47,InProcess,Pass,,0,All measured parameters within specification.
76,146,56,2025-01-20 18:02:56,FinalInspection,Pass,,0,All measured parameters within specification.
77,249,20,2023-01-08 10:52:23,InProcess,Pass,,0,All measured parameters within specification.
78,285,16,2024-01-14 07:32:58,FinalInspection,Pass,,0,All measured parameters within specification.
79,7,55,2024-12-12 01:33:11,Incoming,ReworkRequired,Foreign Object Debris (FOD),8,Foreign Object Debris (FOD) identified during inspection; see NCR log.
80,278,47,2024-12-19 01:31:47,FinalInspection,Pass,,0,All measured parameters within specification.
81,64,13,2025-09-21 00:54:34,Incoming,Pass,,0,All measured parameters within specification.
82,370,27,2025-01-30 10:03:52,Incoming,Pass,,0,All measured parameters within specification.
83,430,33,2024-12-02 13:36:34,FinalInspection,Pass,,0,All measured parameters within specification.
84,407,61,2024-05-28 14:21:25,Audit,Fail,Foreign Object Debris (FOD),7,Foreign Object Debris (FOD) identified during inspection; see NCR log.
85,380,3,2024-07-21 11:05:30,Incoming,Pass,,0,All measured parameters within specification.
86,100,51,2025-05-01 20:53:14,FinalInspection,Pass,,0,All measured parameters within specification.
87,39,61,2025-06-04 09:57:19,FinalInspection,Pass,,0,All measured parameters within specification.
88,239,20,2025-09-28 19:09:02,Audit,Pass,,0,All measured parameters within specification.
89,401,37,2024-08-28 00:12:27,Incoming,Pass,,0,All measured parameters within specification.
90,432,6,2025-08-27 14:17:52,FinalInspection,Pass,,0,All measured parameters within specification.
91,413,80,2024-06-17 10:48:58,FinalInspection,Pass,,0,All measured parameters within specification.
92,401,37,2024-10-07 07:22:10,InProcess,Pass,,0,All measured parameters within specification.
93,178,68,2024-03-11 06:56:07,Incoming,Fail,Dimensional Tolerance Deviation,5,Dimensional Tolerance Deviation identified during inspection; see NCR log.
94,74,34,2024-05-04 08:40:39,FinalInspection,Fail,Fastener Torque Non-Conformance,4,Fastener Torque Non-Conformance identified during inspection; see NCR log.
95,129,28,2024-11-30 02:03:48,Incoming,Pass,,0,All measured parameters within specification.
96,75,7,2025-10-30 01:58:40,FinalInspection,ReworkRequired,Fastener Torque Non-Conformance,10,Fastener Torque Non-Conformance identified during inspection; see NCR log.
97,11,27,2025-06-20 14:37:22,InProcess,ReworkRequired,Surface Finish Defect,10,Surface Finish Defect identified during inspection; see NCR log.
98,414,11,2024-12-12 11:21:23,FinalInspection,Pass,,0,All measured parameters within specification.
99,387,27,2023-12-06 07:41:12,Incoming,Pass,,0,All measured parameters within specification.
100,444,52,2025-02-06 06:01:39,FinalInspection,Pass,,0,All measured parameters within specification.
101,103,29,2024-11-28 11:06:33,InProcess,ReworkRequired,Fastener Torque Non-Conformance,6,Fastener Torque Non-Conformance identified during inspection; see NCR log.
102,4,34,2023-09-16 00:01:17,FinalInspection,Fail,Coating Thickness Deviation,12,Coating Thickness Deviation identified during inspection; see NCR log.
103,183,8,2025-12-27 10:54:06,Incoming,ReworkRequired,Coating Thickness Deviation,6,Coating Thickness Deviation identified during inspection; see NCR log.
104,476,63,2024-01-05 02:07:06,FinalInspection,Pass,,0,All measured parameters within specification.
105,334,23,2024-11-23 11:43:18,Incoming,ReworkRequired,Surface Finish Defect,1,Surface Finish Defect identified during inspection; see NCR log.
106,412,57,2024-10-10 06:05:58,InProcess,Pass,,0,All measured parameters within specification.
107,246,42,2024-12-23 04:02:06,InProcess,Pass,,0,All measured parameters within specification.
108,19,24,2025-04-11 17:56:04,Incoming,Fail,Coating Thickness Deviation,7,Coating Thickness Deviation identified during inspection; see NCR log.
109,421,52,2023-01-14 11:43:12,FinalInspection,Pass,,0,All measured parameters within specification.
110,482,45,2024-10-09 22:42:29,Incoming,Pass,,0,All measured parameters within specification.
111,265,78,2023-02-18 03:53:59,InProcess,Pass,,0,All measured parameters within specification.
112,487,24,2024-10-11 11:37:10,FinalInspection,Pass,,0,All measured parameters within specification.
113,67,10,2024-07-25 09:48:17,Incoming,Pass,,0,All measured parameters within specification.
114,351,11,2024-03-18 12:53:24,FinalInspection,Pass,,0,All measured parameters within specification.
115,202,80,2025-10-18 00:38:57,FinalInspection,Pass,,0,All measured parameters within specification.
116,227,8,2024-09-18 18:44:40,Audit,Pass,,0,All measured parameters within specification.
117,277,46,2023-04-13 04:40:43,Audit,Pass,,0,All measured parameters within specification.
118,182,55,2023-02-04 08:48:41,Incoming,Pass,,0,All measured parameters within specification.
119,368,42,2023-09-30 05:02:25,InProcess,Pass,,0,All measured parameters within specification.
120,384,7,2025-03-23 12:15:24,Incoming,Pass,,0,All measured parameters within specification.
121,452,5,2024-05-04 11:27:47,FinalInspection,ReworkRequired,Fastener Torque Non-Conformance,3,Fastener Torque Non-Conformance identified during inspection; see NCR log.
122,299,60,2024-11-09 13:58:07,Incoming,Pass,,0,All measured parameters within specification.
123,386,2,2024-05-17 17:07:38,FinalInspection,Fail,Surface Finish Defect,10,Surface Finish Defect identified during inspection; see NCR log.
124,261,37,2025-06-01 08:22:49,InProcess,Fail,Material Porosity,10,Material Porosity identified during inspection; see NCR log.
125,19,56,2025-03-10 16:44:10,InProcess,Fail,Weld Discontinuity,5,Weld Discontinuity identified during inspection; see NCR log.
126,95,15,2025-07-22 12:03:37,Incoming,Fail,Foreign Object Debris (FOD),5,Foreign Object Debris (FOD) identified during inspection; see NCR log.
127,318,19,2025-11-19 15:33:52,Audit,Pass,,0,All measured parameters within specification.
128,184,74,2023-11-17 00:24:43,InProcess,Pass,,0,All measured parameters within specification.
129,91,20,2024-09-07 08:45:24,Incoming,Pass,,0,All measured parameters within specification.
130,372,32,2024-06-19 20:29:59,InProcess,Pass,,0,All measured parameters within specification.
131,92,76,2025-05-21 04:28:53,FinalInspection,Pass,,0,All measured parameters within specification.
132,185,31,2024-05-16 17:52:56,FinalInspection,Pass,,0,All measured parameters within specification.
133,428,42,2024-05-14 10:57:13,Incoming,Pass,,0,All measured parameters within specification.
134,139,71,2025-04-03 17:38:50,InProcess,Pass,,0,All measured parameters within specification.
135,206,10,2024-06-24 20:07:43,FinalInspection,Pass,,0,All measured parameters within specification.
136,209,73,2023-04-02 00:11:05,FinalInspection,Pass,,0,All measured parameters within specification.
137,173,26,2023-10-07 03:10:08,InProcess,Pass,,0,All measured parameters within specification.
138,391,39,2025-08-30 18:20:04,FinalInspection,Pass,,0,All measured parameters within specification.
139,316,26,2025-11-21 18:46:41,Incoming,Pass,,0,All measured parameters within specification.
140,102,30,2023-04-05 10:56:03,Incoming,Pass,,0,All measured parameters within specification.
141,48,46,2025-12-19 07:59:33,InProcess,Pass,,0,All measured parameters within specification.
142,23,74,2023-02-08 18:42:57,FinalInspection,Pass,,0,All measured parameters within specification.
143,71,55,2023-12-23 04:51:11,InProcess,Pass,,0,All measured parameters within specification.
144,139,34,2023-03-25 17:41:35,Incoming,Pass,,0,All measured parameters within specification.
145,141,71,2025-02-19 05:45:38,FinalInspection,Pass,,0,All measured parameters within specification.
146,281,6,2025-07-07 17:29:27,InProcess,Pass,,0,All measured parameters within specification.
147,392,50,2023-12-26 01:14:02,FinalInspection,Pass,,0,All measured parameters within specification.
148,306,35,2025-08-10 14:08:44,Incoming,Pass,,0,All measured parameters within specification.
149,154,62,2024-11-30 06:28:07,InProcess,Fail,Material Porosity,10,Material Porosity identified during inspection; see NCR log.
150,265,31,2025-04-21 19:59:57,Incoming,Pass,,0,All measured parameters within specification.
151,153,35,2024-05-29 19:01:22,InProcess,Pass,,0,All measured parameters within specification.
152,324,19,2025-06-21 14:30:18,FinalInspection,Pass,,0,All measured parameters within specification.
153,1,76,2024-08-20 19:34:08,FinalInspection,Pass,,0,All measured parameters within specification.
154,280,48,2025-05-23 11:24:47,Incoming,Pass,,0,All measured parameters within specification.
155,280,51,2023-03-27 23:18:43,Incoming,Pass,,0,All measured parameters within specification.
156,284,29,2025-05-15 23:19:07,Incoming,Fail,Material Porosity,2,Material Porosity identified during inspection; see NCR log.
157,356,51,2025-09-13 13:18:19,Incoming,Pass,,0,All measured parameters within specification.
158,459,59,2024-11-24 02:39:50,Audit,Pass,,0,All measured parameters within specification.
159,295,80,2023-06-17 01:32:47,InProcess,Pass,,0,All measured parameters within specification.
160,45,30,2025-11-09 21:23:20,FinalInspection,Pass,,0,All measured parameters within specification.
161,291,77,2024-10-13 22:07:21,FinalInspection,Pass,,0,All measured parameters within specification.
162,305,22,2025-07-22 03:19:24,Incoming,Pass,,0,All measured parameters within specification.
163,69,15,2024-02-12 07:58:17,FinalInspection,Fail,Foreign Object Debris (FOD),5,Foreign Object Debris (FOD) identified during inspection; see NCR log.
164,78,75,2025-08-28 16:07:10,Incoming,Pass,,0,All measured parameters within specification.
165,101,11,2025-05-20 09:45:19,FinalInspection,Pass,,0,All measured parameters within specification.
166,305,43,2025-05-20 00:17:57,InProcess,Fail,Fastener Torque Non-Conformance,8,Fastener Torque Non-Conformance identified during inspection; see NCR log.
167,480,53,2025-05-29 00:15:46,Incoming,Pass,,0,All measured parameters within specification.
168,89,24,2024-03-01 03:02:51,InProcess,Pass,,0,All measured parameters within specification.
169,17,40,2023-08-08 22:32:50,FinalInspection,Pass,,0,All measured parameters within specification.
170,384,15,2023-06-22 15:22:20,Incoming,Pass,,0,All measured parameters within specification.
171,57,77,2025-01-08 21:41:51,FinalInspection,Pass,,0,All measured parameters within specification.
172,396,57,2023-01-04 07:50:26,Incoming,Pass,,0,All measured parameters within specification.
173,493,49,2024-12-23 19:15:00,FinalInspection,Pass,,0,All measured parameters within specification.
174,337,78,2023-05-12 07:19:37,Incoming,Pass,,0,All measured parameters within specification.
175,397,17,2024-08-19 12:23:03,FinalInspection,Pass,,0,All measured parameters within specification.
176,499,63,2025-11-14 17:25:41,InProcess,Pass,,0,All measured parameters within specification.
177,40,7,2023-07-08 07:37:06,InProcess,Pass,,0,All measured parameters within specification.
178,38,62,2025-10-12 02:55:47,InProcess,Pass,,0,All measured parameters within specification.
179,239,57,2024-03-10 13:08:18,FinalInspection,Pass,,0,All measured parameters within specification.
180,194,29,2024-06-26 03:05:25,FinalInspection,ReworkRequired,Weld Discontinuity,7,Weld Discontinuity identified during inspection; see NCR log.
181,203,25,2023-09-16 02:56:11,FinalInspection,Fail,Weld Discontinuity,4,Weld Discontinuity identified during inspection; see NCR log.
182,436,60,2024-01-02 05:39:45,Incoming,Pass,,0,All measured parameters within specification.
183,377,77,2023-11-01 23:03:07,Incoming,Pass,,0,All measured parameters within specification.
184,320,72,2025-02-16 15:23:02,FinalInspection,Pass,,0,All measured parameters within specification.
185,213,49,2025-03-28 04:20:58,Audit,Fail,Fastener Torque Non-Conformance,9,Fastener Torque Non-Conformance identified during inspection; see NCR log.
186,169,25,2025-07-03 15:15:05,InProcess,Pass,,0,All measured parameters within specification.
187,39,74,2025-03-30 04:59:02,Incoming,Pass,,0,All measured parameters within specification.
188,450,63,2023-03-07 05:40:25,InProcess,Pass,,0,All measured parameters within specification.
189,356,33,2024-07-25 05:34:52,Incoming,Fail,Weld Discontinuity,9,Weld Discontinuity identified during inspection; see NCR log.
190,451,72,2024-06-25 02:39:48,FinalInspection,Pass,,0,All measured parameters within specification.
191,346,17,2024-11-22 03:39:12,Incoming,Pass,,0,All measured parameters within specification.
192,137,24,2024-10-17 11:57:04,Audit,Pass,,0,All measured parameters within specification.
193,236,11,2024-08-19 06:10:25,FinalInspection,Pass,,0,All measured parameters within specification.
194,358,4,2024-06-10 22:17:39,InProcess,Pass,,0,All measured parameters within specification.
195,62,39,2023-03-08 17:28:57,FinalInspection,Pass,,0,All measured parameters within specification.
196,414,54,2023-11-29 05:08:32,InProcess,Pass,,0,All measured parameters within specification.
197,49,70,2023-06-17 23:14:30,InProcess,Pass,,0,All measured parameters within specification.
198,270,52,2023-06-16 14:47:37,InProcess,Pass,,0,All measured parameters within specification.
199,76,78,2023-02-23 08:22:43,Audit,Pass,,0,All measured parameters within specification.
200,498,69,2024-10-06 00:09:40,InProcess,Pass,,0,All measured parameters within specification.
201,307,1,2024-04-27 23:36:47,FinalInspection,Pass,,0,All measured parameters within specification.
202,305,3,2024-02-08 10:02:05,Incoming,ReworkRequired,Coating Thickness Deviation,2,Coating Thickness Deviation identified during inspection; see NCR log.
203,1,8,2023-09-18 01:10:28,InProcess,Pass,,0,All measured parameters within specification.
204,133,25,2024-06-09 16:13:25,FinalInspection,Pass,,0,All measured parameters within specification.
205,64,63,2025-07-25 10:33:06,FinalInspection,Pass,,0,All measured parameters within specification.
206,370,37,2024-11-04 19:07:20,Incoming,Pass,,0,All measured parameters within specification.
207,364,73,2023-06-04 04:36:12,Incoming,Fail,Surface Finish Defect,3,Surface Finish Defect identified during inspection; see NCR log.
208,322,8,2024-11-14 11:22:34,Incoming,Pass,,0,All measured parameters within specification.
209,396,73,2023-08-26 17:20:47,Incoming,Pass,,0,All measured parameters within specification.
210,291,28,2024-04-14 04:02:22,Audit,Pass,,0,All measured parameters within specification.
211,22,75,2024-03-16 21:33:48,FinalInspection,Pass,,0,All measured parameters within specification.
212,204,35,2023-06-20 19:10:24,FinalInspection,Pass,,0,All measured parameters within specification.
213,18,76,2023-12-18 03:20:56,Incoming,Pass,,0,All measured parameters within specification.
214,495,74,2024-11-05 15:57:54,FinalInspection,Pass,,0,All measured parameters within specification.
215,426,65,2023-08-08 11:07:55,FinalInspection,Pass,,0,All measured parameters within specification.
216,175,69,2023-04-28 06:06:52,FinalInspection,Pass,,0,All measured parameters within specification.
217,296,7,2025-04-06 03:58:13,InProcess,Pass,,0,All measured parameters within specification.
218,481,24,2025-02-04 04:11:22,Incoming,Pass,,0,All measured parameters within specification.
219,479,51,2023-08-31 21:49:54,Incoming,ReworkRequired,Surface Finish Defect,11,Surface Finish Defect identified during inspection; see NCR log.
220,208,2,2025-06-27 22:34:06,Audit,Pass,,0,All measured parameters within specification.
221,391,22,2024-09-30 21:36:47,FinalInspection,ReworkRequired,Coating Thickness Deviation,9,Coating Thickness Deviation identified during inspection; see NCR log.
222,307,59,2023-07-02 04:22:34,InProcess,Pass,,0,All measured parameters within specification.
223,176,76,2023-01-11 03:15:19,Incoming,Pass,,0,All measured parameters within specification.
224,346,56,2025-07-24 13:40:05,Incoming,Pass,,0,All measured parameters within specification.
225,290,55,2023-02-20 08:30:17,FinalInspection,ReworkRequired,Dimensional Tolerance Deviation,7,Dimensional Tolerance Deviation identified during inspection; see NCR log.
226,332,62,2025-02-16 21:58:51,Incoming,Pass,,0,All measured parameters within specification.
227,70,20,2025-01-04 09:07:40,InProcess,Pass,,0,All measured parameters within specification.
228,222,69,2025-03-29 14:06:29,FinalInspection,Pass,,0,All measured parameters within specification.
229,198,48,2024-02-08 19:30:23,FinalInspection,Pass,,0,All measured parameters within specification.
230,263,17,2023-01-25 00:26:09,FinalInspection,Pass,,0,All measured parameters within specification.
231,24,13,2025-03-10 02:58:46,Incoming,Pass,,0,All measured parameters within specification.
232,467,25,2024-10-10 10:20:16,FinalInspection,Pass,,0,All measured parameters within specification.
233,25,51,2023-06-14 18:20:08,InProcess,Pass,,0,All measured parameters within specification.
234,54,47,2025-08-07 20:49:00,InProcess,ReworkRequired,Foreign Object Debris (FOD),2,Foreign Object Debris (FOD) identified during inspection; see NCR log.
235,200,13,2024-01-08 14:57:56,FinalInspection,ReworkRequired,Coating Thickness Deviation,12,Coating Thickness Deviation identified during inspection; see NCR log.
236,223,21,2024-01-13 02:42:55,FinalInspection,Pass,,0,All measured parameters within specification.
237,107,55,2024-09-14 00:33:04,Audit,Fail,Dimensional Tolerance Deviation,6,Dimensional Tolerance Deviation identified during inspection; see NCR log.
238,278,5,2024-12-17 23:27:21,InProcess,Pass,,0,All measured parameters within specification.
239,362,69,2025-05-19 04:50:15,InProcess,Pass,,0,All measured parameters within specification.
240,173,30,2025-06-26 21:28:17,InProcess,Pass,,0,All measured parameters within specification.
241,419,80,2024-12-15 11:56:19,FinalInspection,Pass,,0,All measured parameters within specification.
242,349,19,2024-07-05 20:04:56,InProcess,Pass,,0,All measured parameters within specification.
243,471,63,2024-04-22 15:17:49,InProcess,Pass,,0,All measured parameters within specification.
244,487,50,2025-01-07 06:01:04,InProcess,Pass,,0,All measured parameters within specification.
245,86,20,2024-06-18 09:43:51,Incoming,Pass,,0,All measured parameters within specification.
246,85,39,2025-09-20 11:21:43,Incoming,Pass,,0,All measured parameters within specification.
247,65,44,2025-05-06 09:07:36,InProcess,Pass,,0,All measured parameters within specification.
248,361,14,2023-02-04 10:19:15,InProcess,ReworkRequired,Foreign Object Debris (FOD),8,Foreign Object Debris (FOD) identified during inspection; see NCR log.
249,137,13,2024-02-09 21:32:33,FinalInspection,Pass,,0,All measured parameters within specification.
250,497,58,2025-04-14 01:41:08,Incoming,Pass,,0,All measured parameters within specification.
251,477,36,2025-08-25 19:37:12,Incoming,ReworkRequired,Foreign Object Debris (FOD),9,Foreign Object Debris (FOD) identified during inspection; see NCR log.
252,252,19,2024-02-15 04:35:07,InProcess,Pass,,0,All measured parameters within specification.
253,279,50,2023-09-03 02:52:58,InProcess,Pass,,0,All measured parameters within specification.
254,75,78,2023-09-29 21:16:28,FinalInspection,Pass,,0,All measured parameters within specification.
255,100,8,2024-09-08 19:32:29,InProcess,Pass,,0,All measured parameters within specification.
256,116,4,2023-06-27 01:32:38,InProcess,Pass,,0,All measured parameters within specification.
257,351,18,2025-12-13 01:14:36,Incoming,Pass,,0,All measured parameters within specification.
258,468,38,2024-05-09 04:37:55,FinalInspection,ReworkRequired,Coating Thickness Deviation,6,Coating Thickness Deviation identified during inspection; see NCR log.
259,245,39,2023-01-02 03:25:53,InProcess,Pass,,0,All measured parameters within specification.
260,233,80,2023-10-04 23:31:55,InProcess,Pass,,0,All measured parameters within specification.
261,11,31,2025-04-16 05:01:02,FinalInspection,Pass,,0,All measured parameters within specification.
262,58,4,2025-01-06 17:32:16,InProcess,Pass,,0,All measured parameters within specification.
263,268,43,2024-02-08 12:31:28,Incoming,Pass,,0,All measured parameters within specification.
264,381,25,2023-02-10 21:38:17,InProcess,Pass,,0,All measured parameters within specification.
265,62,59,2025-09-23 15:17:21,Incoming,Pass,,0,All measured parameters within specification.
266,113,44,2024-09-12 02:30:56,Incoming,Pass,,0,All measured parameters within specification.
267,61,14,2025-09-12 08:21:20,Incoming,Pass,,0,All measured parameters within specification.
268,291,72,2024-06-02 15:57:38,FinalInspection,Pass,,0,All measured parameters within specification.
269,407,37,2025-01-23 20:07:58,Incoming,Pass,,0,All measured parameters within specification.
270,54,10,2023-08-22 16:30:31,InProcess,Pass,,0,All measured parameters within specification.
271,173,36,2023-03-02 22:13:25,FinalInspection,Pass,,0,All measured parameters within specification.
272,2,45,2024-07-30 02:36:14,Incoming,Pass,,0,All measured parameters within specification.
273,289,42,2023-04-14 09:19:17,FinalInspection,Pass,,0,All measured parameters within specification.
274,328,23,2024-06-01 03:24:17,InProcess,Pass,,0,All measured parameters within specification.
275,194,35,2025-05-02 02:37:09,Incoming,Pass,,0,All measured parameters within specification.
276,166,54,2024-09-07 16:26:52,Incoming,Pass,,0,All measured parameters within specification.
277,175,28,2023-01-28 23:06:16,FinalInspection,ReworkRequired,Fastener Torque Non-Conformance,9,Fastener Torque Non-Conformance identified during inspection; see NCR log.
278,341,1,2025-06-23 01:24:52,FinalInspection,Pass,,0,All measured parameters within specification.
279,455,53,2025-01-03 23:56:18,Audit,ReworkRequired,Material Porosity,8,Material Porosity identified during inspection; see NCR log.
280,488,27,2023-06-01 08:56:29,FinalInspection,Pass,,0,All measured parameters within specification.
281,450,36,2023-10-11 22:18:47,InProcess,Pass,,0,All measured parameters within specification.
282,329,9,2025-05-19 09:35:49,InProcess,Pass,,0,All measured parameters within specification.
283,135,48,2023-08-31 03:00:33,Incoming,Pass,,0,All measured parameters within specification.
284,269,36,2024-09-14 08:10:40,InProcess,Pass,,0,All measured parameters within specification.
285,130,59,2024-04-09 05:17:55,Incoming,Pass,,0,All measured parameters within specification.
286,142,42,2024-10-25 13:21:49,FinalInspection,Pass,,0,All measured parameters within specification.
287,82,1,2024-11-01 14:14:50,InProcess,Pass,,0,All measured parameters within specification.
288,251,47,2025-09-15 09:25:41,Incoming,Pass,,0,All measured parameters within specification.
289,33,15,2024-04-24 21:22:08,Incoming,Pass,,0,All measured parameters within specification.
290,402,37,2024-06-01 17:51:35,FinalInspection,Fail,Weld Discontinuity,12,Weld Discontinuity identified during inspection; see NCR log.
291,490,49,2025-01-27 03:17:26,FinalInspection,Pass,,0,All measured parameters within specification.
