PurchaseOrderID,PONumber,SupplierID,OrderDate,ExpectedDeliveryDate,Status,TotalAmount,CreatedAt
54,PO-000054,27,2023-11-26,2024-01-07,PartiallyReceived,6626568.74,2023-11-26 00:00:00
55,PO-000055,47,2023-11-25,2023-12-04,Received,1975704.36,2023-11-25 00:00:00
56,PO-000056,9,2024-11-15,2024-12-11,PartiallyReceived,27107.69,2024-11-15 00:00:00
57,PO-000057,52,2023-11-30,2023-12-19,Received,122848.55,2023-11-30 00:00:00
58,PO-000058,56,2025-08-02,2025-08-23,Received,64315647.84,2025-08-02 00:00:00
59,PO-000059,45,2024-12-13,2025-02-07,Received,30654378.89,2024-12-13 00:00:00
60,PO-000060,19,2023-08-08,2023-09-29,Cancelled,21487714.04,2023-08-08 00:00:00
61,PO-000061,16,2025-03-15,2025-04-11,Received,526254.33,2025-03-15 00:00:00
62,PO-000062,8,2023-12-23,2024-01-07,Shipped,75185579.61,2023-12-23 00:00:00
63,PO-000063,44,2025-10-17,2025-10-30,Received,63304823.79,2025-10-17 00:00:00
64,PO-000064,46,2025-04-20,2025-04-27,PartiallyReceived,987067.74,2025-04-20 00:00:00
65,PO-000065,55,2023-08-18,2023-09-03,Pending,41935184.23,2023-08-18 00:00:00
66,PO-000066,20,2025-05-21,2025-06-10,Approved,1724466.46,2025-05-21 00:00:00
67,PO-000067,5,2023-09-23,2023-11-27,Received,520913.51,2023-09-23 00:00:00
68,PO-000068,33,2024-05-06,2024-06-01,PartiallyReceived,2281944.37,2024-05-06 00:00:00
69,PO-000069,24,2025-10-08,2025-11-06,Pending,167324.47,2025-10-08 00:00:00
70,PO-000070,7,2025-02-07,2025-03-03,Received,72584004.64,2025-02-07 00:00:00
71,PO-000071,40,2025-04-22,2025-05-20,Approved,477453.01,2025-04-22 00:00:00
72,PO-000072,49,2023-02-18,2023-03-17,Shipped,2024116.52,2023-02-18 00:00:00
73,PO-000073,33,2023-12-30,2024-02-04,Shipped,144156051.06,2023-12-30 00:00:00
74,PO-000074,29,2025-03-28,2025-04-21,Received,78019016.33,2025-03-28 00:00:00
75,PO-000075,33,2024-02-14,2024-03-06,Received,882042.79,2024-02-14 00:00:00
76,PO-000076,59,2023-06-15,2023-06-22,Shipped,132237013.65,2023-06-15 00:00:00
77,PO-000077,23,2025-11-19,2025-11-29,Received,21250381.5,2025-11-19 00:00:00
78,PO-000078,23,2023-12-08,2023-12-29,Received,301632.17,2023-12-08 00:00:00
79,PO-000079,5,2024-06-05,2024-06-26,PartiallyReceived,6115.33,2024-06-05 00:00:00
80,PO-000080,44,2023-11-25,2024-01-24,Received,674714.95,2023-11-25 00:00:00
81,PO-000081,11,2025-05-26,2025-06-25,Approved,108196963.67,2025-05-26 00:00:00
82,PO-000082,26,2023-12-29,2024-01-18,Approved,523560.29,2023-12-29 00:00:00
83,PO-000083,2,2024-11-20,2024-12-02,PartiallyReceived,798346.74,2024-11-20 00:00:00
84,PO-000084,1,2025-03-18,2025-03-31,PartiallyReceived,99894.52,2025-03-18 00:00:00
85,PO-000085,51,2025-02-10,2025-02-23,Received,99573319.51,2025-02-10 00:00:00
86,PO-000086,24,2023-03-10,2023-03-20,Received,76885027.72,2023-03-10 00:00:00
87,PO-000087,41,2023-12-23,2024-02-23,Received,17638518.42,2023-12-23 00:00:00
88,PO-000088,23,2023-12-10,2023-12-29,Received,179810.1,2023-12-10 00:00:00
89,PO-000089,46,2024-01-21,2024-02-11,Received,54599316.41,2024-01-21 00:00:00
90,PO-000090,21,2025-05-26,2025-06-21,Received,2885653.98,2025-05-26 00:00:00
91,PO-000091,33,2023-05-10,2023-06-28,Received,140739.58,2023-05-10 00:00:00
92,PO-000092,32,2024-03-01,2024-04-30,PartiallyReceived,185074895.75,2024-03-01 00:00:00
93,PO-000093,12,2024-11-26,2024-12-25,Received,286559.08,2024-11-26 00:00:00
94,PO-000094,54,2024-08-30,2024-09-21,Approved,14011385.45,2024-08-30 00:00:00
95,PO-000095,32,2024-05-08,2024-05-16,Cancelled,2522581.76,2024-05-08 00:00:00
96,PO-000096,32,2023-05-30,2023-06-18,Received,264543.0,2023-05-30 00:00:00
97,PO-000097,32,2024-03-24,2024-04-15,Received,4687.2,2024-03-24 00:00:00
98,PO-000098,18,2023-07-03,2023-08-21,Shipped,6938.12,2023-07-03 00:00:00
99,PO-000099,50,2023-09-04,2023-10-29,Received,150544.17,2023-09-04 00:00:00
100,PO-000100,18,2025-04-18,2025-05-12,Received,120883051.6,2025-04-18 00:00:00
101,PO-000101,49,2025-04-28,2025-05-16,Received,14115.86,2025-04-28 00:00:00
102,PO-000102,48,2025-02-26,2025-03-22,PartiallyReceived,185003691.43,2025-02-26 00:00:00
103,PO-000103,29,2025-06-27,2025-07-11,Cancelled,9433080.59,2025-06-27 00:00:00
104,PO-000104,50,2023-10-15,2023-10-24,Cancelled,4452923.73,2023-10-15 00:00:00
105,PO-000105,23,2025-06-08,2025-06-21,Received,147923.01,2025-06-08 00:00:00
106,PO-000106,9,2025-07-31,2025-08-26,Approved,1884361.98,2025-07-31 00:00:00
107,PO-000107,35,2025-05-09,2025-05-22,Received,19103657.82,2025-05-09 00:00:00
108,PO-000108,18,2023-11-04,2023-12-26,Shipped,47684076.57,2023-11-04 00:00:00
109,PO-000109,7,2025-11-08,2025-12-01,Received,891017.81,2025-11-08 00:00:00
110,PO-000110,56,2023-05-29,2023-06-18,Cancelled,48690735.7,2023-05-29 00:00:00
111,PO-000111,46,2024-12-19,2025-01-17,Approved,12793626.01,2024-12-19 00:00:00
112,PO-000112,32,2023-12-19,2024-01-02,Received,304599.23,2023-12-19 00:00:00
113,PO-000113,29,2023-06-05,2023-07-02,PartiallyReceived,1055016.93,2023-06-05 00:00:00
114,PO-000114,45,2023-03-24,2023-04-02,Received,1898042.84,2023-03-24 00:00:00
115,PO-000115,38,2025-10-22,2025-11-09,PartiallyReceived,4558985.79,2025-10-22 00:00:00
116,PO-000116,45,2023-01-03,2023-03-13,Received,849728.5,2023-01-03 00:00:00
117,PO-000117,28,2024-01-28,2024-02-06,Shipped,1259869.21,2024-01-28 00:00:00
118,PO-000118,22,2025-06-22,2025-07-14,Received,2031327.32,2025-06-22 00:00:00
119,PO-000119,22,2024-08-22,2024-09-02,PartiallyReceived,61860.34,2024-08-22 00:00:00
120,PO-000120,60,2025-09-06,2025-10-23,Pending,50776861.46,2025-09-06 00:00:00
121,PO-000121,28,2025-07-28,2025-08-18,Cancelled,73832.85,2025-07-28 00:00:00
122,PO-000122,20,2023-08-10,2023-09-08,Received,56889.53,2023-08-10 00:00:00
123,PO-000123,24,2023-06-24,2023-08-11,Shipped,184031.66,2023-06-24 00:00:00
124,PO-000124,47,2024-12-28,2025-02-28,Received,1233627.08,2024-12-28 00:00:00
125,PO-000125,7,2025-02-04,2025-02-18,Pending,153060.11,2025-02-04 00:00:00
126,PO-000126,29,2023-01-02,2023-02-17,Received,26058443.2,2023-01-02 00:00:00
127,PO-000127,56,2023-01-11,2023-02-09,Approved,8610737.01,2023-01-11 00:00:00
128,PO-000128,6,2024-04-07,2024-04-18,Approved,7411412.04,2024-04-07 00:00:00
129,PO-000129,9,2025-03-11,2025-04-23,Received,4632.83,2025-03-11 00:00:00
130,PO-000130,5,2024-02-24,2024-03-06,Received,28222252.38,2024-02-24 00:00:00
131,PO-000131,23,2024-08-03,2024-08-10,Approved,804470.87,2024-08-03 00:00:00
132,PO-000132,40,2025-03-02,2025-03-29,Received,5142.79,2025-03-02 00:00:00
133,PO-000133,8,2025-01-21,2025-02-19,Approved,4542220.94,2025-01-21 00:00:00
134,PO-000134,51,2024-10-07,2024-10-26,PartiallyReceived,59337629.79,2024-10-07 00:00:00
135,PO-000135,39,2023-06-03,2023-06-18,Approved,62026289.25,2023-06-03 00:00:00
136,PO-000136,2,2024-10-19,2024-11-14,Received,3603012.55,2024-10-19 00:00:00
137,PO-000137,39,2025-07-17,2025-08-14,Approved,2491176.18,2025-07-17 00:00:00
138,PO-000138,51,2024-07-11,2024-08-10,Received,971406.21,2024-07-11 00:00:00
139,PO-000139,32,2025-09-10,2025-09-24,Approved,35449575.82,2025-09-10 00:00:00
140,PO-000140,24,2024-11-29,2024-12-08,Cancelled,209902.63,2024-11-29 00:00:00
141,PO-000141,27,2025-10-19,2025-10-30,Received,733764.87,2025-10-19 00:00:00
142,PO-000142,50,2024-02-05,2024-04-13,Cancelled,5297554.23,2024-02-05 00:00:00
143,PO-000143,60,2023-03-21,2023-05-11,Approved,43223.2,2023-03-21 00:00:00
144,PO-000144,33,2023-03-08,2023-03-27,Received,4204146.52,2023-03-08 00:00:00
145,PO-000145,35,2025-04-19,2025-05-09,Pending,83807083.42,2025-04-19 00:00:00
146,PO-000146,33,2024-08-11,2024-08-22,Shipped,120476532.62,2024-08-11 00:00:00
147,PO-000147,41,2025-10-05,2025-10-16,Shipped,22387748.2,2025-10-05 00:00:00
148,PO-000148,45,2025-04-15,2025-05-12,Pending,61105.71,2025-04-15 00:00:00
149,PO-000149,8,2024-04-24,2024-05-23,Received,1579063.87,2024-04-24 00:00:00
150,PO-000150,46,2024-05-11,2024-06-27,Approved,30850768.6,2024-05-11 00:00:00
151,PO-000151,51,2023-05-31,2023-07-09,Received,62510644.95,2023-05-31 00:00:00
152,PO-000152,56,2025-06-19,2025-07-22,Received,494955.61,2025-06-19 00:00:00
153,PO-000153,52,2023-10-22,2023-11-01,Pending,93312462.36,2023-10-22 00:00:00
154,PO-000154,33,2024-04-15,2024-05-22,PartiallyReceived,2994796.63,2024-04-15 00:00:00
155,PO-000155,11,2024-01-30,2024-02-21,Approved,603821.79,2024-01-30 00:00:00
156,PO-000156,8,2023-10-07,2023-10-17,Received,423884.55,2023-10-07 00:00:00
157,PO-000157,31,2023-09-08,2023-10-11,Approved,2217241.83,2023-09-08 00:00:00
158,PO-000158,59,2024-02-03,2024-02-26,Received,7063193.16,2024-02-03 00:00:00
159,PO-000159,27,2025-02-20,2025-03-19,Shipped,41419556.08,2025-02-20 00:00:00
160,PO-000160,24,2025-09-29,2025-10-16,Pending,90936160.34,2025-09-29 00:00:00
161,PO-000161,52,2023-05-11,2023-06-08,Approved,50639323.53,2023-05-11 00:00:00
162,PO-000162,30,2024-07-18,2024-07-26,Pending,408.04,2024-07-18 00:00:00
163,PO-000163,1,2025-08-06,2025-08-22,Received,269350.83,2025-08-06 00:00:00
164,PO-000164,40,2024-02-08,2024-02-24,Shipped,80095.78,2024-02-08 00:00:00
165,PO-000165,50,2023-09-23,2023-10-11,PartiallyReceived,41166.24,2023-09-23 00:00:00
166,PO-000166,16,2025-04-29,2025-05-29,Received,10809319.02,2025-04-29 00:00:00
167,PO-000167,54,2023-06-14,2023-08-17,Shipped,25655484.87,2023-06-14 00:00:00
168,PO-000168,43,2025-01-29,2025-02-05,Pending,9868466.73,2025-01-29 00:00:00
169,PO-000169,34,2024-02-17,2024-03-18,Approved,31483326.46,2024-02-17 00:00:00
170,PO-000170,10,2025-12-12,2026-01-01,Pending,1278106.77,2025-12-12 00:00:00
171,PO-000171,34,2025-02-18,2025-03-23,Received,1247975.3,2025-02-18 00:00:00
172,PO-000172,38,2024-03-28,2024-04-15,Received,37492.31,2024-03-28 00:00:00
173,PO-000173,38,2023-04-15,2023-04-26,Shipped,77451041.77,2023-04-15 00:00:00
174,PO-000174,19,2024-09-13,2024-10-03,Approved,324328.8,2024-09-13 00:00:00
175,PO-000175,54,2023-10-13,2023-10-30,Shipped,13913571.43,2023-10-13 00:00:00
176,PO-000176,13,2025-03-16,2025-04-02,Approved,794062.71,2025-03-16 00:00:00
177,PO-000177,30,2023-05-30,2023-07-10,Approved,450416.11,2023-05-30 00:00:00
178,PO-000178,14,2023-12-10,2023-12-20,Cancelled,155155.45,2023-12-10 00:00:00
179,PO-000179,11,2024-05-09,2024-05-30,Approved,47004762.06,2024-05-09 00:00:00
180,PO-000180,3,2025-06-03,2025-06-19,Received,2231410.31,2025-06-03 00:00:00
181,PO-000181,26,2023-08-24,2023-10-05,Cancelled,14088224.18,2023-08-24 00:00:00
182,PO-000182,12,2024-07-16,2024-08-13,Received,1722458.65,2024-07-16 00:00:00
183,PO-000183,36,2023-02-04,2023-02-23,Received,1422.1,2023-02-04 00:00:00
184,PO-000184,4,2023-10-01,2023-11-09,Approved,1028874.57,2023-10-01 00:00:00
185,PO-000185,41,2025-06-28,2025-08-16,Shipped,58878642.57,2025-06-28 00:00:00
186,PO-000186,53,2025-10-23,2025-11-01,Shipped,848627.62,2025-10-23 00:00:00
187,PO-000187,6,2023-03-24,2023-05-10,Received,6893.44,2023-03-24 00:00:00
188,PO-000188,60,2025-09-18,2025-11-13,Pending,392709.87,2025-09-18 00:00:00
189,PO-000189,44,2024-09-20,2024-10-20,Pending,57069883.9,2024-09-20 00:00:00
190,PO-000190,18,2024-04-12,2024-04-30,Approved,35052829.61,2024-04-12 00:00:00
191,PO-000191,32,2024-05-03,2024-06-08,Received,81743360.1,2024-05-03 00:00:00
192,PO-000192,25,2024-03-27,2024-04-20,Pending,829061.35,2024-03-27 00:00:00
193,PO-000193,16,2023-05-31,2023-06-13,Received,32268115.36,2023-05-31 00:00:00
194,PO-000194,51,2024-11-21,2024-12-15,Cancelled,12900.21,2024-11-21 00:00:00
195,PO-000195,59,2025-02-20,2025-03-14,PartiallyReceived,68443114.7,2025-02-20 00:00:00
196,PO-000196,21,2024-09-11,2024-09-28,Approved,804874.57,2024-09-11 00:00:00
197,PO-000197,4,2024-10-15,2024-10-22,Received,85699694.91,2024-10-15 00:00:00
198,PO-000198,15,2025-06-04,2025-06-26,Received,96946.59,2025-06-04 00:00:00
199,PO-000199,35,2025-12-02,2025-12-12,Approved,2759.9,2025-12-02 00:00:00
200,PO-000200,52,2025-06-12,2025-08-05,Received,106139.72,2025-06-12 00:00:00
201,PO-000201,45,2024-03-01,2024-04-12,Received,5137480.57,2024-03-01 00:00:00
202,PO-000202,37,2024-01-28,2024-03-25,Received,117007207.32,2024-01-28 00:00:00
203,PO-000203,32,2023-06-05,2023-06-18,Received,912308.03,2023-06-05 00:00:00
204,PO-000204,15,2024-08-16,2024-08-28,Pending,99724.68,2024-08-16 00:00:00
205,PO-000205,59,2024-10-20,2024-10-27,Pending,28049.28,2024-10-20 00:00:00
206,PO-000206,52,2024-11-03,2024-11-14,Approved,176185.75,2024-11-03 00:00:00
207,PO-000207,59,2025-07-13,2025-08-18,Received,71006097.69,2025-07-13 00:00:00
208,PO-000208,5,2023-06-05,2023-06-15,Received,124082.1,2023-06-05 00:00:00
209,PO-000209,20,2024-02-14,2024-03-13,Approved,80133598.27,2024-02-14 00:00:00
210,PO-000210,41,2023-12-20,2024-01-01,PartiallyReceived,62774037.18,2023-12-20 00:00:00
211,PO-000211,36,2025-11-17,2025-12-14,Received,39485.63,2025-11-17 00:00:00
212,PO-000212,38,2025-01-29,2025-02-24,Approved,87530526.48,2025-01-29 00:00:00
213,PO-000213,9,2025-06-10,2025-06-29,Received,10888.51,2025-06-10 00:00:00
214,PO-000214,26,2023-07-14,2023-07-21,Received,703667.8,2023-07-14 00:00:00
215,PO-000215,40,2025-07-20,2025-09-13,Received,77299452.6,2025-07-20 00:00:00
216,PO-000216,48,2023-08-30,2023-11-04,Approved,55218104.18,2023-08-30 00:00:00
217,PO-000217,57,2023-03-27,2023-04-14,Approved,8440802.24,2023-03-27 00:00:00
218,PO-000218,22,2025-11-20,2025-12-19,Received,1965375.46,2025-11-20 00:00:00
219,PO-000219,23,2024-05-04,2024-05-19,Received,36887.32,2024-05-04 00:00:00
220,PO-000220,29,2023-10-09,2023-10-19,Pending,254856.5,2023-10-09 00:00:00
221,PO-000221,25,2025-03-13,2025-03-25,PartiallyReceived,1607510.81,2025-03-13 00:00:00
222,PO-000222,37,2024-01-20,2024-03-19,Received,23086062.68,2024-01-20 00:00:00
223,PO-000223,52,2024-12-13,2025-01-10,PartiallyReceived,383126.78,2024-12-13 00:00:00
224,PO-000224,5,2025-07-15,2025-08-26,Cancelled,33174009.71,2025-07-15 00:00:00
225,PO-000225,58,2024-01-10,2024-02-12,Received,1919797.1,2024-01-10 00:00:00
226,PO-000226,31,2025-12-06,2025-12-23,Received,1711796.46,2025-12-06 00:00:00
227,PO-000227,57,2025-02-10,2025-03-02,Approved,407891.65,2025-02-10 00:00:00
228,PO-000228,27,2024-04-20,2024-05-21,Cancelled,8981092.78,2024-04-20 00:00:00
229,PO-000229,43,2025-02-02,2025-03-04,Received,14255172.34,2025-02-02 00:00:00
230,PO-000230,54,2023-11-05,2023-12-24,Received,2192395.71,2023-11-05 00:00:00
231,PO-000231,19,2024-06-21,2024-06-29,PartiallyReceived,668325.5,2024-06-21 00:00:00
232,PO-000232,2,2025-06-21,2025-07-18,Approved,16796.86,2025-06-21 00:00:00
233,PO-000233,55,2023-08-15,2023-09-11,Pending,10935088.18,2023-08-15 00:00:00
234,PO-000234,17,2023-05-07,2023-05-26,Received,33624.89,2023-05-07 00:00:00
235,PO-000235,25,2023-04-10,2023-05-04,Shipped,56472215.14,2023-04-10 00:00:00
236,PO-000236,15,2024-02-09,2024-04-08,PartiallyReceived,5082.03,2024-02-09 00:00:00
237,PO-000237,23,2025-07-05,2025-08-15,Pending,108270760.76,2025-07-05 00:00:00
238,PO-000238,36,2025-06-03,2025-06-23,Received,5259.03,2025-06-03 00:00:00
239,PO-000239,35,2023-03-08,2023-03-27,PartiallyReceived,14239921.17,2023-03-08 00:00:00
240,PO-000240,20,2025-01-22,2025-02-13,Approved,98424.45,2025-01-22 00:00:00
241,PO-000241,44,2023-03-28,2023-06-08,Received,74788320.66,2023-03-28 00:00:00
242,PO-000242,11,2025-12-12,2026-01-30,Approved,98837.58,2025-12-12 00:00:00
243,PO-000243,44,2025-11-30,2026-01-19,Pending,53003847.17,2025-11-30 00:00:00
244,PO-000244,47,2024-04-21,2024-06-13,Shipped,24955.08,2024-04-21 00:00:00
245,PO-000245,21,2025-09-28,2025-11-21,Shipped,8276.04,2025-09-28 00:00:00
246,PO-000246,51,2025-07-27,2025-08-19,Received,92137726.98,2025-07-27 00:00:00
247,PO-000247,27,2025-02-05,2025-03-02,PartiallyReceived,14843.05,2025-02-05 00:00:00
248,PO-000248,7,2023-06-13,2023-07-08,Received,23013877.15,2023-06-13 00:00:00
249,PO-000249,56,2025-10-09,2025-11-03,Received,679564.23,2025-10-09 00:00:00
250,PO-000250,42,2024-08-09,2024-08-27,Shipped,546713.57,2024-08-09 00:00:00
251,PO-000251,26,2024-06-15,2024-07-11,Approved,2428754.51,2024-06-15 00:00:00
252,PO-000252,26,2023-06-07,2023-07-03,PartiallyReceived,2764661.19,2023-06-07 00:00:00
253,PO-000253,31,2025-09-01,2025-09-18,Pending,51642965.67,2025-09-01 00:00:00
254,PO-000254,54,2025-10-05,2025-11-21,Shipped,5344111.39,2025-10-05 00:00:00
255,PO-000255,15,2024-06-22,2024-07-21,Cancelled,1559086.12,2024-06-22 00:00:00
256,PO-000256,18,2023-05-28,2023-06-27,Received,3254213.44,2023-05-28 00:00:00
257,PO-000257,14,2025-03-09,2025-04-04,Approved,97329.0,2025-03-09 00:00:00
258,PO-000258,56,2025-09-27,2025-10-17,Received,25940301.26,2025-09-27 00:00:00
259,PO-000259,20,2024-02-14,2024-02-22,Approved,1563001.27,2024-02-14 00:00:00
260,PO-000260,2,2025-02-15,2025-04-18,Received,624612.07,2025-02-15 00:00:00
261,PO-000261,30,2023-07-10,2023-07-23,Approved,167888.59,2023-07-10 00:00:00
262,PO-000262,53,2023-02-25,2023-03-15,Shipped,342288.62,2023-02-25 00:00:00
263,PO-000263,2,2024-05-23,2024-06-11,Approved,120355147.34,2024-05-23 00:00:00
264,PO-000264,56,2023-09-22,2023-10-14,Approved,3177448.8,2023-09-22 00:00:00
265,PO-000265,58,2024-06-03,2024-06-27,Approved,62875132.84,2024-06-03 00:00:00
266,PO-000266,11,2023-10-11,2023-11-20,Shipped,734647.94,2023-10-11 00:00:00
267,PO-000267,44,2025-07-23,2025-08-05,Received,231583.8,2025-07-23 00:00:00
268,PO-000268,50,2023-08-15,2023-09-11,Pending,18097.66,2023-08-15 00:00:00
269,PO-000269,39,2025-11-25,2026-01-10,Received,22353485.34,2025-11-25 00:00:00
270,PO-000270,20,2025-05-26,2025-06-09,Received,7123252.25,2025-05-26 00:00:00
271,PO-000271,25,2025-02-19,2025-03-20,PartiallyReceived,3259036.62,2025-02-19 00:00:00
272,PO-000272,44,2025-07-21,2025-08-11,PartiallyReceived,103007.18,2025-07-21 00:00:00
273,PO-000273,33,2024-07-24,2024-08-19,Approved,3218019.59,2024-07-24 00:00:00
274,PO-000274,19,2025-12-30,2026-01-17,Received,122828.47,2025-12-30 00:00:00
275,PO-000275,18,2023-11-23,2023-12-03,Shipped,127880.09,2023-11-23 00:00:00
276,PO-000276,58,2024-12-02,2024-12-17,Received,4513201.88,2024-12-02 00:00:00
277,PO-000277,52,2024-12-14,2025-01-21,Received,219293.79,2024-12-14 00:00:00
278,PO-000278,9,2025-07-27,2025-08-22,Shipped,3041415.3,2025-07-27 00:00:00
279,PO-000279,59,2025-02-28,2025-03-27,Shipped,52580863.86,2025-02-28 00:00:00
280,PO-000280,37,2024-04-03,2024-04-22,Received,245611.68,2024-04-03 00:00:00
281,PO-000281,35,2025-06-12,2025-06-29,Approved,27933531.43,2025-06-12 00:00:00
282,PO-000282,33,2024-11-29,2024-12-21,Received,81329.09,2024-11-29 00:00:00
283,PO-000283,12,2023-11-25,2023-12-07,Received,167101.41,2023-11-25 00:00:00
284,PO-000284,36,2023-11-18,2024-01-05,Received,91656058.08,2023-11-18 00:00:00
285,PO-000285,42,2025-04-15,2025-04-27,Received,26466.53,2025-04-15 00:00:00
286,PO-000286,27,2023-04-08,2023-04-26,Received,32453.65,2023-04-08 00:00:00
287,PO-000287,30,2025-05-12,2025-05-29,Received,3929312.48,2025-05-12 00:00:00
288,PO-000288,13,2025-07-21,2025-08-26,PartiallyReceived,60267373.09,2025-07-21 00:00:00
289,PO-000289,4,2024-07-02,2024-07-30,Shipped,13654041.15,2024-07-02 00:00:00
290,PO-000290,37,2025-08-11,2025-09-13,Shipped,16534.81,2025-08-11 00:00:00
291,PO-000291,32,2025-09-04,2025-10-16,Received,1336225.82,2025-09-04 00:00:00
292,PO-000292,29,2023-12-31,2024-01-12,Pending,103109.18,2023-12-31 00:00:00
293,PO-000293,51,2023-10-27,2023-11-08,Approved,547422.27,2023-10-27 00:00:00
294,PO-000294,26,2025-04-16,2025-06-01,Received,30821.64,2025-04-16 00:00:00
295,PO-000295,13,2024-04-14,2024-05-06,Pending,6311263.76,2024-04-14 00:00:00
