PurchaseOrderLineID,PurchaseOrderID,ItemID,QuantityOrdered,QuantityReceived,UnitPrice,LineTotal
136,136,191,349.04,349.04,32.72,11420.59
137,137,229,491.92,0.0,5062.58,2490384.35
138,138,190,123.39,123.39,16.27,2007.56
139,139,200,75.41,0.0,4016.78,302905.38
140,140,34,65.09,0.0,1140.02,74203.9
141,141,196,155.12,155.12,4273.3,662874.3
142,142,158,55.02,0.0,190.99,10508.27
143,143,146,347.62,0.0,113.31,39388.82
144,144,153,35.83,35.83,1462.11,52387.4
145,145,176,257.16,0.0,90.44,23257.55
146,146,21,498.36,0.0,386.94,192835.42
147,147,123,407.92,0.0,30428.31,12412316.22
148,148,217,309.53,0.0,47.37,14662.44
149,149,183,156.6,156.6,236.8,37082.88
150,150,48,313.83,0.0,9.79,3072.4
151,151,126,265.89,265.89,234668.41,62395983.53
152,152,42,215.91,215.91,12.69,2739.9
153,153,9,69.7,0.0,3038.62,211791.81
154,154,249,443.87,93.11,6744.18,2993539.18
155,155,106,227.64,0.0,86.46,19681.75
156,156,172,101.34,101.34,2504.38,253793.87
157,157,194,187.04,0.0,6501.87,1216109.76
158,158,46,209.99,209.99,29536.63,6202396.93
159,159,113,414.63,0.0,5026.59,2084175.01
160,160,126,368.14,0.0,246996.5,90929291.51
161,161,222,385.81,0.0,354.3,136692.48
162,162,64,10.46,0.0,39.01,408.04
163,163,199,211.0,211.0,725.76,153135.36
164,164,189,243.27,0.0,208.81,50797.21
165,165,185,14.5,5.85,43.29,627.71
166,166,191,133.61,133.61,30.11,4023.0
167,167,138,381.34,0.0,40.44,15421.39
168,168,225,72.87,0.0,134062.53,9769136.56
169,169,10,269.98,0.0,8023.28,2166125.13
170,170,116,111.52,0.0,1647.49,183728.08
171,171,225,11.0,11.0,113452.3,1247975.3
172,172,63,124.39,124.39,14.04,1746.44
173,173,102,488.06,0.0,156710.16,76483960.69
174,174,11,401.76,0.0,807.27,324328.8
175,175,133,479.99,0.0,28626.81,13740582.53
176,176,247,246.49,0.0,329.81,81294.87
177,177,75,59.32,0.0,7054.5,418472.94
178,178,227,276.24,0.0,44.4,12265.06
179,179,212,229.92,0.0,211.22,48563.7
180,180,43,422.96,422.96,30.85,13048.32
181,181,157,53.55,0.0,262794.32,14072635.84
182,182,177,246.68,246.68,59.12,14583.72
183,183,37,79.27,79.27,17.94,1422.1
184,184,166,165.71,0.0,3756.23,622444.87
185,185,185,369.99,0.0,42.15,15595.08
186,186,47,240.63,0.0,258.96,62313.54
187,187,241,191.06,191.06,36.08,6893.44
188,188,140,200.27,0.0,1448.23,290037.02
189,189,106,232.43,0.0,88.74,20625.84
190,190,7,393.58,0.0,87991.94,34631867.75
191,191,152,446.58,446.58,225.8,100837.76
192,192,230,477.89,0.0,62.56,29896.8
193,193,117,394.52,394.52,241.56,95300.25
194,194,83,161.13,0.0,29.3,4721.11
195,195,233,345.63,228.96,191490.5,66184861.52
196,196,188,221.61,0.0,3578.58,793049.11
197,197,30,131.06,131.06,106.61,13972.31
198,198,163,421.23,421.23,62.91,26499.58
199,199,135,24.02,0.0,114.9,2759.9
200,200,187,451.37,451.37,37.01,16705.2
201,201,131,233.43,233.43,194.48,45397.47
202,202,41,320.41,320.41,146715.2,47009017.23
203,203,98,331.38,331.38,1553.32,514739.18
204,204,44,448.08,0.0,222.56,99724.68
205,205,145,320.15,0.0,75.08,24036.86
206,206,221,308.9,0.0,279.86,86448.75
207,207,223,37.99,37.99,13.71,520.84
208,208,197,261.61,261.61,50.25,13145.9
209,209,108,79.33,0.0,331.31,26282.82
210,210,187,370.03,258.88,34.1,12618.02
211,211,161,258.55,258.55,4.15,1072.98
212,212,231,341.71,0.0,233.09,79649.18
213,213,52,25.63,25.63,70.35,1803.07
214,214,196,46.97,46.97,3590.42,168642.03
215,215,118,359.58,359.58,97.14,34929.6
216,216,128,40.68,0.0,180.89,7358.61
217,217,2,40.27,0.0,205118.77,8260132.87
218,218,127,10.99,10.99,247.95,2724.97
219,219,151,478.47,478.47,46.78,22382.83
220,220,117,370.07,0.0,262.5,97143.38
221,221,21,179.86,106.26,325.44,58533.64
222,222,226,151.79,151.79,281.75,42766.83
223,223,159,178.1,108.39,1551.74,276364.89
224,224,54,388.45,0.0,85395.11,33171730.48
225,225,38,332.38,332.38,2670.18,887514.43
226,226,90,96.67,96.67,20.47,1978.83
227,227,219,91.18,0.0,3994.13,364184.77
228,228,148,53.71,0.0,166728.51,8954988.27
229,229,77,331.85,331.85,66.66,22121.12
230,230,23,383.36,383.36,5563.58,2132854.03
231,231,107,136.2,115.22,70.18,9558.52
232,232,73,15.37,0.0,17.62,270.82
233,233,178,45.67,0.0,231798.08,10586218.31
234,234,147,484.09,484.09,44.04,21319.32
235,235,46,151.25,0.0,29792.32,4506088.4
236,236,192,385.77,222.33,5.72,2206.6
237,237,24,314.21,0.0,88458.59,27794573.56
238,238,83,194.06,194.06,27.1,5259.03
239,239,98,106.82,78.32,1857.91,198461.95
240,240,216,65.09,0.0,54.42,3542.2
241,241,75,309.43,309.43,7109.09,2199765.72
242,242,32,388.44,0.0,137.46,53394.96
243,243,71,323.73,0.0,322.5,104402.92
244,244,106,267.5,0.0,93.29,24955.08
245,245,179,25.77,0.0,321.15,8276.04
246,246,15,484.4,484.4,163060.74,78986622.46
247,247,187,400.36,334.93,34.8,13932.53
248,248,23,149.95,149.95,6226.25,933626.19
249,249,177,490.09,490.09,60.38,29591.63
250,250,202,302.93,0.0,1714.55,519388.63
251,251,74,293.3,0.0,244.27,71644.39
252,252,218,375.3,152.27,1527.99,573454.65
253,253,160,406.83,0.0,290.65,118245.14
254,254,34,329.96,0.0,1269.41,418854.52
255,255,128,68.41,0.0,179.86,12304.22
256,256,162,172.44,172.44,82.24,14181.47
257,257,207,464.4,0.0,22.19,10305.04
258,258,157,116.18,116.18,222883.42,25894595.74
259,259,75,189.22,0.0,7997.01,1513194.23
260,260,1,218.88,218.88,2731.83,597942.95
261,261,120,222.51,0.0,185.58,41293.41
262,262,31,308.41,0.0,238.52,73561.95
263,263,54,471.82,0.0,102962.36,48579700.7
264,264,107,124.14,0.0,74.89,9296.84
265,265,86,65.14,0.0,221.88,14453.26
266,266,207,102.75,0.0,24.87,2555.39
267,267,3,444.03,444.03,141.07,62639.31
268,268,177,324.68,0.0,55.74,18097.66
269,269,203,146.52,146.52,152562.69,22353485.34
270,270,77,408.89,408.89,69.64,28475.1
271,271,83,431.38,301.35,25.36,10939.8
272,272,86,424.02,178.89,242.93,103007.18
273,273,158,459.87,0.0,225.24,103581.12
274,274,214,129.86,129.86,148.79,19321.87
275,275,85,378.75,0.0,71.63,27129.86
276,276,237,232.97,232.97,371.04,86441.19
277,277,235,421.79,421.79,39.3,16576.35
278,278,10,365.6,0.0,8266.68,3022298.21
279,279,124,389.34,0.0,134819.3,52490546.26
280,280,118,329.8,329.8,106.5,35123.7
281,281,138,92.83,0.0,44.07,4091.02
282,282,119,274.79,274.79,263.81,72492.35
283,283,106,492.41,492.41,102.41,50427.71
284,284,15,469.01,469.01,194967.03,91441486.74
285,285,77,26.37,26.37,70.63,1862.51
286,286,174,86.58,86.58,374.84,32453.65
287,287,138,70.21,70.21,35.47,2490.35
288,288,148,364.36,235.22,165282.92,60222484.73
289,289,228,409.8,0.0,91.43,37468.01
290,290,17,110.69,0.0,100.51,11125.45
291,291,72,255.4,255.4,172.4,44030.96
292,292,87,421.15,0.0,53.16,22388.33
293,293,161,367.74,0.0,4.54,1669.54
294,294,43,273.41,273.41,31.99,8746.39
295,295,100,297.22,0.0,6619.68,1967501.29
296,296,30,256.64,256.64,110.53,28366.42
297,297,193,152.29,0.0,153.28,23343.01
298,298,220,284.69,284.69,57170.91,16275986.37
299,299,9,346.0,0.0,2934.7,1015406.2
300,300,23,437.29,437.29,6246.67,2731606.32
301,301,61,319.96,0.0,245027.09,78398867.72
302,302,213,381.76,381.76,95190.27,36339837.48
303,303,56,84.24,0.0,35.28,2971.99
304,304,45,233.47,233.47,79.76,18621.57
305,305,201,9.62,0.0,33.06,318.04
306,306,52,127.11,100.88,78.94,10034.06
307,307,7,364.6,0.0,102432.18,37346772.83
308,308,232,495.95,495.95,42.65,21152.27
309,309,49,54.09,0.0,5538.37,299570.43
310,310,124,203.74,0.0,155535.71,31688845.56
311,311,135,401.04,401.04,104.31,41832.48
312,312,84,106.0,31.07,185224.37,19633783.22
313,313,211,279.77,279.77,337.9,94534.28
314,314,133,367.87,367.87,28046.8,10317576.32
315,315,34,309.91,309.91,1146.18,355212.64
316,316,10,98.07,98.07,7903.97,775142.34
317,317,183,180.92,0.0,248.79,45011.09
318,318,30,392.98,0.0,89.23,35065.61
319,319,239,279.34,0.0,2.5,698.35
320,320,218,7.59,7.59,1553.51,11791.14
321,321,23,381.69,0.0,5996.98,2288987.3
322,322,228,22.48,0.0,75.84,1704.88
323,323,134,374.14,374.14,21.29,7965.44
324,324,191,105.23,0.0,28.24,2971.7
325,325,148,479.25,0.0,163741.06,78472903.0
326,326,164,187.13,145.94,189.41,35444.29
327,327,50,166.83,0.0,198.74,33155.79
328,328,137,78.7,78.7,54.8,4312.76
329,329,113,156.27,0.0,4806.04,751039.87
330,330,70,438.94,438.94,169260.45,74295181.92
331,331,71,498.19,498.19,304.87,151883.19
332,332,246,187.31,187.31,375.23,70284.33
333,333,132,227.06,60.52,174110.37,39533500.61
334,334,141,362.43,0.0,80128.89,29041113.6
335,335,37,443.67,443.67,20.06,8900.02
336,336,206,298.56,298.56,112.44,33570.09
337,337,63,198.81,0.0,12.86,2556.7
338,338,80,209.25,0.0,27.47,5748.1
339,339,87,349.33,0.0,48.02,16774.83
340,340,13,6.59,6.59,100.89,664.87
341,341,121,311.7,311.7,264460.81,82432434.48
342,342,13,180.97,180.97,100.24,18140.43
343,343,14,398.13,0.0,4163.76,1657717.77
344,344,101,51.03,51.03,257.38,13134.1
345,345,153,296.16,0.0,1713.58,507493.85
346,346,162,243.08,243.08,89.03,21641.41
347,347,180,322.95,322.95,221.1,71404.24
348,348,92,37.1,0.0,175.83,6523.29
349,349,210,292.09,292.09,262.92,76796.3
350,350,195,282.93,0.0,29.38,8312.48
351,351,137,282.53,0.0,51.44,14533.34
352,352,237,303.73,303.73,378.27,114891.95
353,353,120,339.85,339.85,183.05,62209.54
354,354,24,403.47,403.47,89356.42,36052634.78
355,355,236,138.56,138.56,164.25,22758.48
356,356,25,413.4,0.0,205624.81,85005296.45
357,357,176,251.64,251.64,105.87,26641.13
358,358,197,43.14,0.0,47.37,2043.54
359,359,60,33.98,0.0,376.78,12802.98
360,360,37,170.45,0.0,19.7,3357.86
361,361,158,393.52,393.52,190.56,74989.17
362,362,94,355.3,355.3,2950.37,1048266.46
363,363,180,395.36,395.36,246.87,97602.52
364,364,85,261.05,261.05,70.9,18508.45
365,365,226,222.9,0.0,266.63,59431.83
366,366,125,77.99,0.0,42.06,3280.26
367,367,122,167.46,167.46,6304.24,1055708.03
368,368,123,219.84,219.84,33094.23,7275435.52
369,369,44,48.86,0.0,191.48,9355.71
370,370,90,114.2,114.2,23.67,2703.11
371,371,33,301.12,0.0,205.99,62027.71
372,372,104,369.15,0.0,1665.54,614834.09
373,373,204,499.18,499.18,347.94,173684.69
374,374,143,466.89,466.89,62.15,29017.21
375,375,203,323.07,0.0,162307.59,52436713.1
376,376,119,213.52,213.52,240.75,51404.94
377,377,106,319.91,0.0,86.82,27774.59
378,378,63,393.9,393.9,14.14,5569.75
379,379,250,63.58,63.58,4694.97,298506.19
380,380,17,207.9,207.9,86.68,18020.77
381,381,209,420.7,0.0,8558.6,3600603.02
382,382,111,195.0,195.0,7943.07,1548898.65
383,383,112,288.08,0.0,171244.1,49332000.33
384,384,88,295.95,0.0,3348.8,991077.36
385,385,61,96.32,30.1,263413.55,25371993.14
386,386,190,184.31,0.0,19.03,3507.42
387,387,147,170.58,170.58,44.53,7595.93
388,388,30,17.97,0.0,103.79,1865.11
389,389,119,16.97,0.0,236.21,4008.48
390,390,25,416.69,416.69,224203.87,93423510.59
391,391,46,140.17,140.17,25497.59,3573997.19
392,392,104,261.45,0.0,1383.54,361726.53
393,393,28,152.87,152.87,258879.64,39574930.57
394,394,153,470.64,0.0,1667.82,784942.8
395,395,98,133.35,133.35,1674.17,223250.57
396,396,166,217.68,217.68,3949.49,859724.98
397,397,24,437.0,437.0,77303.34,33781559.58
398,398,36,421.76,421.76,40.53,17093.93
399,399,232,97.12,0.0,45.3,4399.54
400,400,208,402.31,0.0,44.66,17967.16
401,265,38,231.8,0.0,3112.75,721535.45
402,190,116,244.07,0.0,1677.68,409471.36
403,214,100,71.07,71.07,7368.08,523649.45
404,55,115,44.9,44.9,43123.8,1936258.62
405,157,175,365.33,0.0,2740.35,1001132.07
406,319,77,250.75,0.0,70.72,17733.04
407,219,234,221.24,221.24,65.56,14504.49
408,385,236,366.11,297.71,154.17,56443.18
409,58,235,383.93,383.93,38.04,14604.7
410,271,23,83.66,48.42,6421.14,537192.57
411,366,131,307.06,0.0,184.88,56769.25
412,319,33,72.0,0.0,223.27,16075.44
413,292,16,376.93,0.0,39.59,14922.66
414,150,141,330.19,0.0,93408.74,30842631.86
415,380,1,478.52,478.52,3161.75,1512960.61
416,222,211,39.13,39.13,337.63,13211.46
417,223,29,33.24,25.26,3211.85,106761.89
418,50,61,144.68,144.68,248736.93,35987259.03
419,3,152,134.54,134.54,200.57,26984.69
420,239,82,127.25,84.32,63.05,8023.11
421,215,112,453.6,453.6,170336.25,77264523.0
422,379,170,128.53,128.53,31417.24,4038057.86
423,122,36,139.62,139.62,34.22,4777.8
424,300,99,380.9,380.9,400.18,152428.56
425,362,93,227.62,227.62,207.85,47310.82
426,138,40,389.47,389.47,2310.55,899889.91
427,166,224,37.36,37.36,224.49,8386.95
428,259,35,246.35,0.0,202.18,49807.04
429,206,166,21.64,0.0,3352.03,72537.93
430,65,185,36.01,0.0,46.1,1660.06
431,89,169,453.69,453.69,4385.06,1989457.87
432,334,35,73.93,0.0,206.27,15249.54
433,78,165,268.55,268.55,63.37,17018.01
434,73,221,208.49,0.0,302.69,63107.84
435,320,202,176.93,176.93,1605.8,284114.19
436,341,239,450.42,450.42,2.76,1243.16
437,341,47,15.8,15.8,239.78,3788.52
438,373,109,333.58,333.58,174.35,58159.67
439,398,116,481.88,481.88,1618.17,779763.76
440,185,58,282.28,0.0,6774.46,1912294.57
441,220,155,468.73,0.0,308.38,144546.96
442,117,128,30.87,0.0,194.14,5993.1
443,27,61,212.3,212.3,266037.12,56479680.58
444,40,69,133.78,133.78,36.73,4913.74
445,291,140,366.76,366.76,1619.22,593865.13
446,195,9,490.74,410.19,3159.57,1550527.38
447,133,181,131.98,0.0,44.04,5812.4
448,52,149,328.82,328.82,28.26,9292.45
449,263,177,103.06,0.0,52.85,5446.72
450,41,187,284.84,284.84,36.5,10396.66
451,248,220,234.65,234.65,66944.06,15708423.68
452,361,200,486.14,486.14,4113.8,1999882.73
453,128,133,306.22,0.0,24121.94,7386620.47
454,181,228,178.01,0.0,87.57,15588.34
455,247,63,61.48,31.18,14.81,910.52
456,123,246,79.87,0.0,379.3,30294.69
457,234,176,116.53,116.53,105.6,12305.57
458,227,205,129.23,0.0,338.21,43706.88
459,146,157,426.05,0.0,212418.98,90501106.43
460,127,88,282.81,0.0,3341.13,944904.98
461,172,3,264.08,264.08,135.36,35745.87
462,2,132,61.81,61.81,189389.37,11706156.96
463,99,147,430.77,430.77,43.5,18738.5
464,89,108,362.79,362.79,335.11,121574.56
465,296,205,38.5,38.5,315.14,12132.89
466,175,43,355.38,0.0,27.88,9907.99
467,337,237,274.05,0.0,364.54,99902.19
468,54,78,45.45,30.57,145387.02,6607840.06
469,294,16,231.86,231.86,42.19,9782.17
470,352,149,244.92,244.92,26.1,6392.41
471,186,14,87.06,0.0,4807.84,418570.55
472,144,75,473.12,473.12,7699.5,3642787.44
473,123,160,425.74,0.0,266.64,113519.31
474,221,125,336.17,85.26,47.56,15988.25
475,71,218,233.84,0.0,1623.69,379683.67
476,243,65,208.82,0.0,326.05,68085.76
477,337,72,327.23,0.0,150.45,49231.75
478,344,66,274.99,274.99,121.34,33367.29
479,57,29,35.83,35.83,3023.51,108332.36
480,216,233,258.69,0.0,213253.31,55166498.76
481,106,39,404.17,0.0,48.14,19456.74
482,355,95,232.32,232.32,60.21,13987.99
483,31,67,30.72,30.72,6264.95,192459.26
484,31,61,394.21,394.21,252019.29,99348524.31
485,8,205,104.68,104.68,333.98,34961.03
486,203,9,133.02,133.02,2988.79,397568.85
487,13,22,86.53,71.71,146.26,12655.88
488,233,211,168.46,0.0,276.83,46634.78
489,163,127,379.59,379.59,281.21,106744.5
490,237,106,262.1,0.0,98.85,25908.58
491,363,61,106.42,106.42,262862.12,27973786.81
492,221,186,439.53,270.06,242.04,106383.84
493,218,188,440.39,440.39,4268.9,1879980.87
494,400,14,435.94,0.0,4791.96,2089007.04
495,189,194,123.2,0.0,7552.83,930508.66
496,311,14,228.36,228.36,4255.8,971854.49
497,147,103,492.57,0.0,4951.9,2439157.38
498,90,122,387.15,387.15,7379.48,2856965.68
499,309,193,18.45,0.0,177.37,3272.48
500,294,60,37.28,37.28,329.75,12293.08
501,117,181,234.65,0.0,44.28,10390.3
502,186,68,455.06,0.0,83.56,38024.81
503,205,223,271.66,0.0,14.77,4012.42
504,159,74,251.42,0.0,274.61,69042.45
505,201,115,57.21,57.21,45240.84,2588228.46
506,266,81,330.11,0.0,23.49,7754.28
507,340,175,411.94,411.94,2788.36,1148637.02
508,323,25,193.31,193.31,229055.46,44278710.97
509,246,164,388.93,388.93,191.0,74285.63
510,67,217,482.42,482.42,45.42,21911.52
511,206,236,105.86,0.0,162.47,17199.07
512,179,70,264.05,0.0,177641.34,46906195.83
513,72,69,147.13,0.0,40.31,5930.81
514,380,66,397.46,397.46,142.83,56769.21
515,264,101,290.91,0.0,276.59,80462.8
516,388,173,319.12,0.0,88164.78,28135144.59
517,295,188,399.97,0.0,4105.57,1642104.83
518,194,198,201.01,0.0,40.69,8179.1
519,144,87,457.97,457.97,49.61,22719.89
520,88,47,268.85,268.85,231.43,62219.96
521,196,3,83.19,0.0,142.15,11825.46
522,26,213,349.47,0.0,76724.74,26812994.89
523,148,106,397.66,0.0,83.63,33256.31
524,18,27,161.8,161.8,89.13,14421.23
525,83,90,429.3,147.09,21.86,9384.5
526,364,50,453.54,453.54,185.83,84281.34
527,145,159,142.07,0.0,1296.1,184136.93
528,188,241,491.84,0.0,33.67,16560.25
529,182,229,74.65,74.65,5299.9,395637.54
530,19,244,105.0,61.91,52.24,5485.2
531,393,246,96.19,96.19,330.54,31794.64
532,130,220,447.52,447.52,61409.06,27481782.53
533,282,97,328.87,328.87,26.87,8836.74
534,209,231,80.29,0.0,265.35,21304.95
535,332,206,222.96,222.96,132.24,29484.23
536,334,230,309.57,0.0,61.06,18902.34
537,106,48,46.31,0.0,8.48,392.71
538,218,120,441.8,441.8,187.12,82669.62
539,70,20,402.78,402.78,177676.2,71564419.84
540,262,237,255.08,0.0,399.07,101794.78
541,147,197,483.73,0.0,46.92,22696.61
542,262,232,211.79,0.0,44.39,9401.36
543,335,198,492.13,492.13,42.07,20703.91
544,207,42,335.62,335.62,14.65,4916.83
545,151,71,319.16,319.16,359.26,114661.42
546,363,98,87.15,87.15,1700.25,148176.79
547,207,16,441.55,441.55,38.49,16995.26
548,142,209,216.61,0.0,7702.76,1668494.84
549,348,113,85.31,0.0,4128.95,352240.72
550,195,238,11.24,3.71,168.24,1891.02
551,193,166,282.08,282.08,3793.64,1070109.97
552,242,37,266.06,0.0,18.28,4863.58
553,201,111,361.08,361.08,6917.78,2497872.0
554,56,165,445.68,119.92,58.13,25907.38
555,67,67,44.31,44.31,5293.96,234575.37
556,31,19,367.09,367.09,207.01,75991.3
557,258,187,97.77,97.77,32.45,3172.64
558,85,115,429.8,429.8,41113.96,17670780.01
559,75,128,410.44,410.44,163.67,67176.71
560,145,164,272.69,0.0,173.95,47434.43
561,287,10,356.57,356.57,8303.58,2960807.52
562,48,69,160.6,47.95,35.99,5779.99
563,93,101,238.23,238.23,284.32,67733.55
564,325,132,411.71,0.0,181048.55,74539498.52
565,289,198,232.34,0.0,43.86,10190.43
566,193,112,182.11,182.11,164533.64,29963221.18
567,192,187,249.64,0.0,36.92,9216.71
568,85,202,414.98,414.98,1372.04,569369.16
569,65,58,170.93,0.0,6447.92,1102142.97
570,334,245,91.01,0.0,16.77,1526.24
571,9,200,357.45,357.45,4328.68,1547286.67
572,18,146,413.86,413.86,111.24,46037.79
573,230,92,54.82,54.82,176.78,9691.08
574,65,78,123.74,0.0,139692.24,17285517.78
575,252,162,75.28,63.84,85.24,6416.87
576,16,94,177.23,97.03,3370.79,597405.11
577,229,21,227.92,227.92,400.75,91338.94
578,23,195,375.67,0.0,30.04,11285.13
579,104,166,327.32,0.0,3525.78,1154058.31
580,73,142,312.36,0.0,103.98,32479.19
581,384,99,179.43,0.0,383.73,68852.67
582,240,77,421.52,0.0,72.85,30707.73
583,226,230,238.29,238.29,60.99,14533.31
584,8,177,489.66,489.66,56.85,27837.17
585,288,22,318.9,247.27,140.76,44888.36
586,265,49,67.5,0.0,5257.0,354847.5
587,114,50,339.71,339.71,185.38,62975.44
