ProductionOrderID,ProductionOrderNumber,ItemID,CustomerID,PlannedQuantity,ActualQuantity,ScheduledStartDate,ScheduledEndDate,Status,Priority,CreatedAt,ActualFinishTime,ProductionDelayMinutes,IsDelayed,QuantityVariance,CompletionRate
24,PRD-000024,228,38,236.39,227.75,2023-01-21,2023-02-06,Completed,Medium,2023-01-21,2023-02-04 22:00:00,0.0,0,-8.64,0.9635
25,PRD-000025,126,2,229.86,214.27,2025-05-09,2025-06-19,Completed,Medium,2025-05-09,2025-06-16 06:00:00,0.0,0,-15.59,0.9322
26,PRD-000026,66,6,849.56,456.48,2023-07-12,2023-07-16,InProgress,Low,2023-07-12,2023-07-15 22:00:00,0.0,0,-393.08,0.5373
27,PRD-000027,197,6,104.45,37.31,2023-04-16,2023-04-29,InProgress,Low,2023-04-16,2023-04-28 06:00:00,0.0,0,-67.14,0.3572
28,PRD-000028,183,4,38.88,15.11,2025-10-11,2025-11-08,InProgress,Medium,2025-10-11,2025-11-05 22:00:00,0.0,0,-23.77,0.3886
29,PRD-000029,97,8,665.81,113.92,2023-04-16,2023-04-28,InProgress,Low,2023-04-16,2023-04-27 06:00:00,0.0,0,-551.89,0.1711
30,PRD-000030,193,33,296.0,278.18,2023-09-13,2023-10-24,Completed,Medium,2023-09-13,2023-10-21 06:00:00,0.0,0,-17.82,0.9398
31,PRD-000031,17,31,920.34,919.72,2023-05-03,2023-05-09,Completed,Low,2023-05-03,2023-05-08 14:00:00,0.0,0,-0.62,0.9993
32,PRD-000032,173,7,54.46,0.0,2024-11-05,2024-11-09,Cancelled,Low,2024-11-05,2024-11-08 22:00:00,0.0,0,-54.46,0.0
33,PRD-000033,22,33,763.4,715.44,2024-08-13,2024-08-24,Completed,Low,2024-08-13,2024-08-23 22:00:00,0.0,0,-47.96,0.9372
34,PRD-000034,63,35,398.53,220.21,2025-10-27,2025-11-22,InProgress,Critical,2025-10-27,2025-11-21 06:00:00,0.0,0,-178.32,0.5526
35,PRD-000035,119,40,919.24,0.0,2025-10-20,2025-11-27,Scheduled,Medium,2025-10-20,2025-11-25 06:00:00,0.0,0,-919.24,0.0
36,PRD-000036,65,25,951.42,424.59,2025-11-01,2025-11-24,InProgress,Critical,2025-11-01,2025-11-24 06:00:00,360.0,1,-526.83,0.4463
37,PRD-000037,12,11,363.55,355.83,2025-06-16,2025-07-02,Completed,High,2025-06-16,2025-06-25 22:00:00,0.0,0,-7.72,0.9788
38,PRD-000038,186,36,258.49,247.22,2024-08-22,2024-09-21,Completed,Critical,2024-08-22,2024-09-20 22:00:00,0.0,0,-11.27,0.9564
39,PRD-000039,82,22,364.99,0.0,2025-07-24,2025-08-09,Cancelled,Medium,2025-07-24,2025-08-08 22:00:00,0.0,0,-364.99,0.0
40,PRD-000040,83,22,660.06,609.92,2025-11-09,2025-12-10,Completed,Low,2025-11-09,2025-12-04 22:00:00,0.0,0,-50.14,0.924
41,PRD-000041,1,39,199.68,198.05,2025-10-18,2025-11-20,Completed,Medium,2025-10-18,2025-11-17 06:00:00,0.0,0,-1.63,0.9918
42,PRD-000042,181,32,110.79,44.71,2025-08-18,2025-09-01,OnHold,High,2025-08-18,2025-08-31 22:00:00,0.0,0,-66.08,0.4036
43,PRD-000043,229,29,228.64,206.67,2024-07-27,2024-09-09,Completed,High,2024-07-27,2024-09-05 06:00:00,0.0,0,-21.97,0.9039
44,PRD-000044,46,1,45.66,41.89,2024-01-11,2024-02-07,Completed,Low,2024-01-11,2024-01-31 22:00:00,0.0,0,-3.77,0.9174
45,PRD-000045,6,18,868.1,233.94,2024-01-30,2024-02-14,InProgress,High,2024-01-30,2024-02-13 14:00:00,0.0,0,-634.16,0.2695
46,PRD-000046,57,15,950.95,911.16,2025-01-25,2025-02-23,Completed,Critical,2025-01-25,2025-02-19 14:00:00,0.0,0,-39.79,0.9582
47,PRD-000047,181,39,442.25,198.15,2025-10-27,2025-11-01,OnHold,Low,2025-10-27,2025-10-31 22:00:00,0.0,0,-244.1,0.448
48,PRD-000048,146,33,521.53,289.59,2023-07-28,2023-09-09,OnHold,Medium,2023-07-28,2023-09-07 22:00:00,0.0,0,-231.94,0.5553
49,PRD-000049,155,37,289.67,270.93,2024-08-10,2024-09-24,Completed,Low,2024-08-10,2024-09-23 06:00:00,0.0,0,-18.74,0.9353
50,PRD-000050,187,18,895.15,597.85,2024-09-18,2024-10-07,OnHold,Low,2024-09-18,2024-10-04 22:00:00,0.0,0,-297.3,0.6679
51,PRD-000051,227,30,893.63,841.75,2024-12-23,2025-01-29,Completed,Low,2024-12-23,2025-01-28 22:00:00,0.0,0,-51.88,0.9419
52,PRD-000052,105,18,782.56,741.58,2024-03-30,2024-05-28,Completed,Low,2024-03-30,2024-05-04 06:00:00,0.0,0,-40.98,0.9476
53,PRD-000053,227,15,502.56,462.59,2024-07-05,2024-08-08,Completed,Low,2024-07-05,2024-07-31 06:00:00,0.0,0,-39.97,0.9205
54,PRD-000054,50,22,595.22,0.0,2025-09-05,2025-10-12,Scheduled,Low,2025-09-05,2025-10-09 06:00:00,0.0,0,-595.22,0.0
55,PRD-000055,177,28,194.27,58.07,2024-08-31,2024-09-04,InProgress,Critical,2024-08-31,2024-09-03 22:00:00,0.0,0,-136.2,0.2989
56,PRD-000056,161,7,856.48,0.0,2025-09-03,2025-10-02,Scheduled,Low,2025-09-03,2025-09-30 14:00:00,0.0,0,-856.48,0.0
57,PRD-000057,86,17,215.01,195.04,2024-04-05,2024-04-09,Completed,Low,2024-04-05,2024-04-08 22:00:00,0.0,0,-19.97,0.9071
58,PRD-000058,134,16,78.32,77.86,2024-05-19,2024-06-12,Completed,Critical,2024-05-19,2024-06-11 14:00:00,0.0,0,-0.46,0.9941
59,PRD-000059,115,38,511.85,0.0,2025-04-06,2025-05-18,Scheduled,Low,2025-04-06,2025-05-12 14:00:00,0.0,0,-511.85,0.0
60,PRD-000060,178,5,415.32,243.6,2025-11-03,2025-11-08,OnHold,High,2025-11-03,2025-11-07 22:00:00,0.0,0,-171.72,0.5865
61,PRD-000061,174,4,837.47,0.0,2023-03-08,2023-04-26,Scheduled,Medium,2023-03-08,2023-04-23 14:00:00,0.0,0,-837.47,0.0
62,PRD-000062,106,15,338.87,328.49,2023-11-11,2023-12-08,Completed,High,2023-11-11,2023-12-05 14:00:00,0.0,0,-10.38,0.9694
63,PRD-000063,110,40,773.41,746.7,2025-04-18,2025-06-16,Completed,Medium,2025-04-18,2025-06-16 06:00:00,360.0,1,-26.71,0.9655
64,PRD-000064,50,7,160.08,100.13,2023-12-28,2024-01-01,InProgress,Low,2023-12-28,2023-12-30 22:00:00,0.0,0,-59.95,0.6255
65,PRD-000065,232,37,543.7,504.69,2024-09-25,2024-10-02,Completed,Low,2024-09-25,2024-10-01 22:00:00,0.0,0,-39.01,0.9283
66,PRD-000066,114,12,430.98,389.5,2024-06-25,2024-07-20,Completed,Low,2024-06-25,2024-07-17 22:00:00,0.0,0,-41.48,0.9038
67,PRD-000067,167,23,136.59,133.39,2025-04-28,2025-05-22,Completed,Medium,2025-04-28,2025-05-21 22:00:00,0.0,0,-3.2,0.9766
68,PRD-000068,75,24,10.01,9.43,2025-07-31,2025-08-26,Completed,Critical,2025-07-31,2025-08-23 22:00:00,0.0,0,-0.58,0.9421
69,PRD-000069,130,36,527.29,0.0,2024-07-05,2024-08-19,Scheduled,High,2024-07-05,2024-08-18 06:00:00,0.0,0,-527.29,0.0
70,PRD-000070,52,5,64.09,63.92,2024-03-25,2024-04-09,Completed,Medium,2024-03-25,2024-03-30 22:00:00,0.0,0,-0.17,0.9973
71,PRD-000071,149,37,233.86,66.07,2024-12-12,2025-01-13,InProgress,Critical,2024-12-12,2025-01-12 06:00:00,0.0,0,-167.79,0.2825
72,PRD-000072,225,3,310.9,0.0,2024-10-18,2024-11-16,Scheduled,Medium,2024-10-18,2024-11-13 22:00:00,0.0,0,-310.9,0.0
73,PRD-000073,160,14,238.11,24.02,2025-09-06,2025-10-19,InProgress,Low,2025-09-06,2025-10-19 06:00:00,360.0,1,-214.09,0.1009
74,PRD-000074,103,12,732.05,729.62,2025-02-21,2025-03-17,Completed,High,2025-02-21,2025-03-16 14:00:00,0.0,0,-2.43,0.9967
75,PRD-000075,37,19,232.05,224.23,2023-01-08,2023-01-16,Completed,Medium,2023-01-08,2023-01-15 06:00:00,0.0,0,-7.82,0.9663
76,PRD-000076,73,12,744.48,453.43,2024-11-03,2024-12-04,InProgress,Low,2024-11-03,2024-12-03 06:00:00,0.0,0,-291.05,0.6091
77,PRD-000077,46,13,428.4,398.54,2023-10-07,2023-10-21,Completed,Low,2023-10-07,2023-10-14 14:00:00,0.0,0,-29.86,0.9303
78,PRD-000078,202,8,332.04,322.5,2025-06-16,2025-07-04,Completed,Medium,2025-06-16,2025-07-03 22:00:00,0.0,0,-9.54,0.9713
79,PRD-000079,170,11,818.61,751.62,2023-08-12,2023-09-13,Completed,Critical,2023-08-12,2023-09-09 06:00:00,0.0,0,-66.99,0.9182
80,PRD-000080,17,8,377.23,241.87,2025-11-06,2025-12-18,OnHold,Low,2025-11-06,2025-12-18 06:00:00,360.0,1,-135.36,0.6412
81,PRD-000081,96,21,808.63,807.41,2025-09-11,2025-09-26,Completed,Medium,2025-09-11,2025-09-26 06:00:00,360.0,1,-1.22,0.9985
82,PRD-000082,151,13,756.71,710.79,2025-11-06,2025-11-24,Completed,High,2025-11-06,2025-11-23 14:00:00,0.0,0,-45.92,0.9393
83,PRD-000083,204,18,594.73,0.0,2023-11-10,2023-11-22,Scheduled,High,2023-11-10,2023-11-17 14:00:00,0.0,0,-594.73,0.0
84,PRD-000084,21,31,664.4,97.72,2025-06-25,2025-08-04,InProgress,High,2025-06-25,2025-07-25 14:00:00,0.0,0,-566.68,0.1471
85,PRD-000085,166,33,549.05,533.09,2024-10-16,2024-10-29,Completed,Medium,2024-10-16,2024-10-27 22:00:00,0.0,0,-15.96,0.9709
86,PRD-000086,178,31,175.65,171.8,2024-07-06,2024-07-20,Completed,High,2024-07-06,2024-07-19 22:00:00,0.0,0,-3.85,0.9781
87,PRD-000087,203,38,587.94,585.13,2024-06-10,2024-06-30,Completed,Medium,2024-06-10,2024-06-29 14:00:00,0.0,0,-2.81,0.9952
88,PRD-000088,56,20,52.0,13.48,2023-08-09,2023-08-24,InProgress,Medium,2023-08-09,2023-08-24 06:00:00,360.0,1,-38.52,0.2592
89,PRD-000089,141,6,605.54,562.94,2024-02-06,2024-02-19,Completed,Low,2024-02-06,2024-02-18 06:00:00,0.0,0,-42.6,0.9296
90,PRD-000090,11,30,717.28,398.38,2023-03-31,2023-05-01,InProgress,Medium,2023-03-31,2023-05-01 06:00:00,360.0,1,-318.9,0.5554
91,PRD-000091,206,32,111.49,106.07,2023-12-25,2024-01-25,Completed,Medium,2023-12-25,2024-01-22 06:00:00,0.0,0,-5.42,0.9514
92,PRD-000092,20,23,513.8,165.22,2024-02-12,2024-02-26,InProgress,Critical,2024-02-12,2024-02-24 22:00:00,0.0,0,-348.58,0.3216
93,PRD-000093,202,18,933.6,917.5,2023-11-10,2023-12-15,Completed,Critical,2023-11-10,2023-12-13 14:00:00,0.0,0,-16.1,0.9828
94,PRD-000094,86,13,700.24,680.24,2023-04-15,2023-04-22,Completed,High,2023-04-15,2023-04-22 06:00:00,360.0,1,-20.0,0.9714
95,PRD-000095,36,35,467.1,463.41,2023-09-24,2023-10-14,Completed,Critical,2023-09-24,2023-10-08 06:00:00,0.0,0,-3.69,0.9921
96,PRD-000096,104,26,697.65,374.91,2023-01-10,2023-02-01,InProgress,High,2023-01-10,2023-01-31 06:00:00,0.0,0,-322.74,0.5374
97,PRD-000097,195,10,863.07,800.42,2025-03-18,2025-03-21,Completed,High,2025-03-18,2025-03-21 06:00:00,360.0,1,-62.65,0.9274
98,PRD-000098,202,36,809.0,743.89,2023-08-31,2023-09-16,Completed,High,2023-08-31,2023-09-16 06:00:00,360.0,1,-65.11,0.9195
99,PRD-000099,217,13,351.89,0.0,2025-02-08,2025-03-12,Scheduled,Medium,2025-02-08,2025-03-10 14:00:00,0.0,0,-351.89,0.0
100,PRD-000100,143,2,342.25,341.52,2025-09-30,2025-10-29,Completed,Medium,2025-09-30,2025-10-23 06:00:00,0.0,0,-0.73,0.9979
101,PRD-000101,128,23,857.97,832.33,2024-09-07,2024-09-18,Completed,Medium,2024-09-07,2024-09-18 06:00:00,360.0,1,-25.64,0.9701
102,PRD-000102,77,21,729.79,697.83,2024-03-22,2024-04-19,Completed,Medium,2024-03-22,2024-04-18 06:00:00,0.0,0,-31.96,0.9562
103,PRD-000103,244,22,947.62,376.92,2024-08-27,2024-09-01,InProgress,Medium,2024-08-27,2024-09-01 06:00:00,360.0,1,-570.7,0.3978
104,PRD-000104,98,14,386.71,354.34,2025-05-01,2025-06-11,Completed,Critical,2025-05-01,2025-05-30 14:00:00,0.0,0,-32.37,0.9163
105,PRD-000105,146,29,788.34,0.0,2023-03-09,2023-04-05,Scheduled,Medium,2023-03-09,2023-04-01 06:00:00,0.0,0,-788.34,0.0
106,PRD-000106,177,39,737.1,0.0,2023-11-21,2023-12-14,Scheduled,Medium,2023-11-21,2023-12-14 06:00:00,360.0,1,-737.1,0.0
107,PRD-000107,53,15,390.51,352.44,2023-07-18,2023-07-25,Completed,Medium,2023-07-18,2023-07-25 06:00:00,360.0,1,-38.07,0.9025
108,PRD-000108,221,27,840.61,89.82,2024-07-12,2024-08-18,InProgress,Medium,2024-07-12,2024-08-13 14:00:00,0.0,0,-750.79,0.1069
109,PRD-000109,18,25,706.66,704.56,2025-11-19,2025-11-30,Completed,Critical,2025-11-19,2025-11-29 06:00:00,0.0,0,-2.1,0.997
110,PRD-000110,210,31,443.28,106.82,2025-07-10,2025-07-21,InProgress,Low,2025-07-10,2025-07-20 06:00:00,0.0,0,-336.46,0.241
111,PRD-000111,176,30,707.82,694.88,2024-09-04,2024-09-26,Completed,Medium,2024-09-04,2024-09-23 14:00:00,0.0,0,-12.94,0.9817
112,PRD-000112,155,16,550.97,549.15,2023-01-08,2023-01-20,Completed,Medium,2023-01-08,2023-01-20 06:00:00,360.0,1,-1.82,0.9967
113,PRD-000113,189,6,61.15,58.12,2025-08-27,2025-09-30,Completed,Medium,2025-08-27,2025-09-28 22:00:00,0.0,0,-3.03,0.9504
114,PRD-000114,203,20,721.27,711.36,2025-07-27,2025-08-28,Completed,Medium,2025-07-27,2025-08-23 06:00:00,0.0,0,-9.91,0.9863
115,PRD-000115,159,28,187.46,108.73,2025-05-26,2025-06-09,InProgress,Medium,2025-05-26,2025-06-07 22:00:00,0.0,0,-78.73,0.58
116,PRD-000116,179,3,557.18,0.0,2025-08-28,2025-09-11,Scheduled,Low,2025-08-28,2025-09-06 06:00:00,0.0,0,-557.18,0.0
117,PRD-000117,171,5,402.59,367.63,2025-07-16,2025-08-05,Completed,High,2025-07-16,2025-08-05 06:00:00,360.0,1,-34.96,0.9132
118,PRD-000118,196,36,866.64,793.61,2025-02-08,2025-02-24,Completed,Low,2025-02-08,2025-02-21 14:00:00,0.0,0,-73.03,0.9157
119,PRD-000119,105,29,316.69,294.21,2024-01-28,2024-02-06,Completed,Low,2024-01-28,2024-02-06 06:00:00,360.0,1,-22.48,0.929
120,PRD-000120,178,30,872.7,0.0,2023-08-09,2023-08-14,Scheduled,Medium,2023-08-09,2023-08-13 22:00:00,0.0,0,-872.7,0.0
121,PRD-000121,30,9,675.98,0.0,2025-03-05,2025-03-20,Scheduled,Medium,2025-03-05,2025-03-20 06:00:00,360.0,1,-675.98,0.0
122,PRD-000122,169,16,798.71,0.0,2025-03-08,2025-04-11,Scheduled,High,2025-03-08,2025-04-07 06:00:00,0.0,0,-798.71,0.0
123,PRD-000123,44,2,257.96,248.28,2024-04-11,2024-05-14,Completed,Medium,2024-04-11,2024-05-09 06:00:00,0.0,0,-9.68,0.9625
124,PRD-000124,20,1,576.03,566.4,2023-07-08,2023-07-18,Completed,High,2023-07-08,2023-07-18 06:00:00,360.0,1,-9.63,0.9833
125,PRD-000125,137,14,907.03,97.32,2023-06-13,2023-07-14,OnHold,Medium,2023-06-13,2023-07-12 22:00:00,0.0,0,-809.71,0.1073
126,PRD-000126,184,7,677.28,613.06,2023-02-20,2023-04-04,Completed,Medium,2023-02-20,2023-04-03 22:00:00,0.0,0,-64.22,0.9052
127,PRD-000127,97,13,553.37,0.0,2023-11-25,2023-12-01,Scheduled,Critical,2023-11-25,2023-12-01 06:00:00,360.0,1,-553.37,0.0
128,PRD-000128,8,1,294.76,0.0,2024-02-03,2024-02-21,Scheduled,Medium,2024-02-03,2024-02-20 06:00:00,0.0,0,-294.76,0.0
129,PRD-000129,213,11,313.71,293.41,2023-07-24,2023-09-15,Completed,High,2023-07-24,2023-09-07 22:00:00,0.0,0,-20.3,0.9353
130,PRD-000130,161,13,625.08,187.79,2023-02-16,2023-04-07,InProgress,Medium,2023-02-16,2023-04-05 06:00:00,0.0,0,-437.29,0.3004
131,PRD-000131,55,7,735.37,0.0,2025-09-22,2025-10-20,Scheduled,Medium,2025-09-22,2025-10-19 22:00:00,0.0,0,-735.37,0.0
132,PRD-000132,55,30,410.48,0.0,2023-07-04,2023-08-01,Scheduled,Low,2023-07-04,2023-07-28 06:00:00,0.0,0,-410.48,0.0
133,PRD-000133,18,14,77.67,75.99,2024-12-01,2024-12-21,Completed,Medium,2024-12-01,2024-12-21 06:00:00,360.0,1,-1.68,0.9784
134,PRD-000134,138,37,292.9,0.0,2025-03-28,2025-05-01,Scheduled,Low,2025-03-28,2025-04-30 06:00:00,0.0,0,-292.9,0.0
135,PRD-000135,100,9,438.44,424.65,2025-10-18,2025-11-28,Completed,Medium,2025-10-18,2025-11-22 14:00:00,0.0,0,-13.79,0.9685
136,PRD-000136,18,22,339.13,307.14,2024-11-07,2024-11-30,Completed,Low,2024-11-07,2024-11-23 06:00:00,0.0,0,-31.99,0.9057
137,PRD-000137,60,33,380.18,378.07,2025-08-29,2025-09-29,Completed,Medium,2025-08-29,2025-09-21 22:00:00,0.0,0,-2.11,0.9944
138,PRD-000138,189,28,645.32,324.52,2025-11-18,2025-12-13,InProgress,High,2025-11-18,2025-12-13 06:00:00,360.0,1,-320.8,0.5029
139,PRD-000139,39,25,635.96,139.53,2024-10-22,2024-11-17,InProgress,Low,2024-10-22,2024-11-12 14:00:00,0.0,0,-496.43,0.2194
140,PRD-000140,225,22,424.15,413.59,2023-02-10,2023-03-23,Completed,Low,2023-02-10,2023-03-19 14:00:00,0.0,0,-10.56,0.9751
141,PRD-000141,166,19,110.36,0.0,2023-12-05,2023-12-10,Cancelled,High,2023-12-05,2023-12-10 06:00:00,360.0,1,-110.36,0.0
142,PRD-000142,14,16,285.07,75.77,2023-09-01,2023-09-25,InProgress,High,2023-09-01,2023-09-24 06:00:00,0.0,0,-209.3,0.2658
143,PRD-000143,83,12,437.7,436.84,2025-01-11,2025-01-28,Completed,Medium,2025-01-11,2025-01-25 22:00:00,0.0,0,-0.86,0.998
144,PRD-000144,37,14,76.83,0.0,2023-01-07,2023-02-21,Scheduled,Low,2023-01-07,2023-02-19 14:00:00,0.0,0,-76.83,0.0
145,PRD-000145,61,33,523.51,108.69,2023-07-04,2023-08-11,OnHold,Low,2023-07-04,2023-08-09 22:00:00,0.0,0,-414.82,0.2076
146,PRD-000146,46,39,970.97,163.11,2025-02-11,2025-03-16,InProgress,Low,2025-02-11,2025-03-15 06:00:00,0.0,0,-807.86,0.168
147,PRD-000147,221,31,409.56,222.28,2023-10-31,2023-12-01,InProgress,Low,2023-10-31,2023-11-29 14:00:00,0.0,0,-187.28,0.5427
148,PRD-000148,109,33,707.51,666.67,2025-11-01,2025-11-29,Completed,Medium,2025-11-01,2025-11-28 14:00:00,0.0,0,-40.84,0.9423
149,PRD-000149,6,25,353.06,331.79,2024-04-06,2024-04-18,Completed,Medium,2024-04-06,2024-04-16 22:00:00,0.0,0,-21.27,0.9398
150,PRD-000150,187,12,271.63,60.63,2023-03-30,2023-04-21,InProgress,Medium,2023-03-30,2023-04-19 06:00:00,0.0,0,-211.0,0.2232
151,PRD-000151,124,5,488.21,452.5,2024-05-08,2024-06-09,Completed,Medium,2024-05-08,2024-06-05 14:00:00,0.0,0,-35.71,0.9269
152,PRD-000152,221,33,294.59,0.0,2025-01-31,2025-02-26,Scheduled,High,2025-01-31,2025-02-22 06:00:00,0.0,0,-294.59,0.0
153,PRD-000153,249,24,660.19,449.67,2024-02-03,2024-03-02,OnHold,Medium,2024-02-03,2024-03-01 14:00:00,0.0,0,-210.52,0.6811
154,PRD-000154,32,25,607.6,0.0,2023-11-24,2024-01-09,Cancelled,Critical,2023-11-24,2024-01-07 06:00:00,0.0,0,-607.6,0.0
155,PRD-000155,193,23,86.21,78.24,2023-06-22,2023-07-22,Completed,Medium,2023-06-22,2023-07-20 06:00:00,0.0,0,-7.97,0.9076
156,PRD-000156,238,28,951.91,885.02,2024-06-04,2024-06-30,Completed,High,2024-06-04,2024-06-26 22:00:00,0.0,0,-66.89,0.9297
157,PRD-000157,181,2,101.15,97.09,2023-09-16,2023-09-21,Completed,High,2023-09-16,2023-09-21 06:00:00,360.0,1,-4.06,0.9599
158,PRD-000158,38,17,627.41,306.87,2024-11-18,2024-12-07,OnHold,Low,2024-11-18,2024-12-03 06:00:00,0.0,0,-320.54,0.4891
159,PRD-000159,198,6,274.73,0.0,2024-09-07,2024-10-22,Scheduled,Medium,2024-09-07,2024-10-15 14:00:00,0.0,0,-274.73,0.0
160,PRD-000160,21,34,24.96,0.0,2025-09-03,2025-10-01,Cancelled,Critical,2025-09-03,2025-10-01 06:00:00,360.0,1,-24.96,0.0
161,PRD-000161,78,33,965.37,241.86,2025-07-21,2025-08-03,InProgress,Critical,2025-07-21,2025-07-31 06:00:00,0.0,0,-723.51,0.2505
162,PRD-000162,193,6,679.27,659.34,2024-12-02,2024-12-29,Completed,Low,2024-12-02,2024-12-21 22:00:00,0.0,0,-19.93,0.9707
163,PRD-000163,54,26,613.91,176.65,2024-09-01,2024-09-26,InProgress,High,2024-09-01,2024-09-26 06:00:00,360.0,1,-437.26,0.2877
164,PRD-000164,18,27,278.39,0.0,2023-01-07,2023-01-20,Scheduled,Medium,2023-01-07,2023-01-19 14:00:00,0.0,0,-278.39,0.0
165,PRD-000165,35,13,601.69,372.84,2024-11-28,2025-01-13,InProgress,Medium,2024-11-28,2025-01-12 06:00:00,0.0,0,-228.85,0.6197
166,PRD-000166,48,13,947.27,862.58,2024-06-19,2024-06-29,Completed,Low,2024-06-19,2024-06-29 06:00:00,360.0,1,-84.69,0.9106
167,PRD-000167,105,29,163.28,108.88,2023-07-14,2023-07-29,OnHold,Medium,2023-07-14,2023-07-28 22:00:00,0.0,0,-54.4,0.6668
168,PRD-000168,32,18,739.17,0.0,2024-10-27,2024-12-23,Scheduled,Low,2024-10-27,2024-12-21 22:00:00,0.0,0,-739.17,0.0
169,PRD-000169,26,1,884.16,813.66,2023-02-01,2023-02-19,Completed,Low,2023-02-01,2023-02-17 22:00:00,0.0,0,-70.5,0.9203
170,PRD-000170,11,7,591.71,574.03,2025-03-11,2025-03-14,Completed,Low,2025-03-11,2025-03-13 22:00:00,0.0,0,-17.68,0.9701
171,PRD-000171,195,18,683.31,0.0,2025-04-23,2025-05-20,Cancelled,Critical,2025-04-23,2025-05-17 22:00:00,0.0,0,-683.31,0.0
172,PRD-000172,175,22,414.07,45.23,2024-05-18,2024-06-11,InProgress,Critical,2024-05-18,2024-06-10 14:00:00,0.0,0,-368.84,0.1092
173,PRD-000173,15,23,587.1,543.25,2025-05-19,2025-06-14,Completed,High,2025-05-19,2025-06-14 06:00:00,360.0,1,-43.85,0.9253
174,PRD-000174,186,9,455.75,453.82,2025-05-08,2025-05-11,Completed,Low,2025-05-08,2025-05-11 06:00:00,360.0,1,-1.93,0.9958
