ProductionLogID,ProductionOrderID,MachineID,OperatorID,LogDate,ShiftStartTime,ShiftEndTime,UnitsProduced,UnitsScrapped,DowntimeMinutes,Notes,ProductionDurationHours,DowntimeFlag,MachineUtilizationRate,ScrapRate
40,457,16,14,2023-09-24,2023-09-24 14:00:00,2023-09-24 22:00:00,54.99,0.55,6,Unscheduled machine downtime.,8.0,0,0.9875,0.0099
41,189,6,60,2025-07-01,2025-07-01 14:00:00,2025-07-01 22:00:00,65.24,1.81,5,Minor tooling adjustment required.,8.0,0,0.9896,0.027
42,466,10,49,2024-07-21,2024-07-21 06:00:00,2024-07-21 14:00:00,145.76,0.77,18,None,8.0,0,0.9625,0.0053
43,284,2,51,2025-05-26,2025-05-26 14:00:00,2025-05-26 22:00:00,123.26,1.28,0,Minor tooling adjustment required.,8.0,0,1.0,0.0103
44,153,22,54,2024-02-12,2024-02-12 22:00:00,2024-02-13 06:00:00,14.21,0.13,14,Quality hold pending inspection.,8.0,0,0.9708,0.0091
45,471,19,48,2024-12-25,2024-12-25 06:00:00,2024-12-25 14:00:00,143.06,3.87,18,Operator changeover mid-shift.,8.0,0,0.9625,0.0263
46,259,12,56,2025-10-26,2025-10-26 22:00:00,2025-10-27 06:00:00,140.59,2.06,9,Minor tooling adjustment required.,8.0,0,0.9812,0.0144
47,155,12,27,2023-06-27,2023-06-27 14:00:00,2023-06-27 22:00:00,66.59,1.62,4,Unscheduled machine downtime.,8.0,0,0.9917,0.0238
48,316,31,2,2025-07-28,2025-07-28 22:00:00,2025-07-29 06:00:00,62.74,0.66,13,None,8.0,0,0.9729,0.0104
49,170,14,51,2025-03-11,2025-03-11 06:00:00,2025-03-11 14:00:00,106.42,3.17,4,None,8.0,0,0.9917,0.0289
50,244,21,69,2023-03-08,2023-03-08 06:00:00,2023-03-08 14:00:00,87.95,0.43,11,Operator changeover mid-shift.,8.0,0,0.9771,0.0049
51,61,5,33,2023-04-01,2023-04-01 06:00:00,2023-04-01 14:00:00,43.78,0.21,17,None,8.0,0,0.9646,0.0048
52,364,33,60,2024-12-11,2024-12-11 22:00:00,2024-12-12 06:00:00,119.31,1.28,0,Material shortage caused brief stoppage.,8.0,0,1.0,0.0106
53,80,20,60,2025-11-23,2025-11-23 14:00:00,2025-11-23 22:00:00,118.74,0.77,10,None,8.0,0,0.9792,0.0064
54,411,25,17,2024-01-04,2024-01-04 22:00:00,2024-01-05 06:00:00,98.54,2.83,155,Quality hold pending inspection.,8.0,1,0.6771,0.0279
55,192,16,24,2025-10-08,2025-10-08 06:00:00,2025-10-08 14:00:00,72.77,1.4,1,None,8.0,0,0.9979,0.0189
56,13,15,56,2023-07-02,2023-07-02 06:00:00,2023-07-02 14:00:00,34.11,0.7,1,Unscheduled machine downtime.,8.0,0,0.9979,0.0201
57,479,31,37,2025-06-11,2025-06-11 22:00:00,2025-06-12 06:00:00,51.32,0.53,7,None,8.0,0,0.9854,0.0102
58,87,15,46,2024-06-27,2024-06-27 06:00:00,2024-06-27 14:00:00,63.39,1.12,7,None,8.0,0,0.9854,0.0174
59,123,17,48,2024-04-21,2024-04-21 22:00:00,2024-04-22 06:00:00,83.89,1.81,11,Operator changeover mid-shift.,8.0,0,0.9771,0.0211
60,121,34,40,2025-03-17,2025-03-17 06:00:00,2025-03-17 14:00:00,15.43,0.24,4,Operator changeover mid-shift.,8.0,0,0.9917,0.0153
61,32,5,51,2024-11-06,2024-11-06 22:00:00,2024-11-07 06:00:00,56.26,0.12,10,None,8.0,0,0.9792,0.0021
62,163,7,25,2024-09-09,2024-09-09 14:00:00,2024-09-09 22:00:00,53.71,0.77,157,Operator changeover mid-shift.,8.0,1,0.6729,0.0141
63,386,20,61,2025-07-03,2025-07-03 22:00:00,2025-07-04 06:00:00,100.7,0.37,212,Unscheduled machine downtime.,8.0,1,0.5583,0.0037
64,467,1,38,2025-02-08,2025-02-08 22:00:00,2025-02-09 06:00:00,39.08,0.47,5,None,8.0,0,0.9896,0.0119
65,138,17,51,2025-12-07,2025-12-07 14:00:00,2025-12-07 22:00:00,90.2,2.66,12,Unscheduled machine downtime.,8.0,0,0.975,0.0286
66,266,14,26,2025-08-12,2025-08-12 22:00:00,2025-08-13 06:00:00,149.52,0.27,17,Minor tooling adjustment required.,8.0,0,0.9646,0.0018
67,406,6,58,2023-07-08,2023-07-08 14:00:00,2023-07-08 22:00:00,22.89,0.36,0,Operator changeover mid-shift.,8.0,0,1.0,0.0155
68,281,13,65,2023-03-04,2023-03-04 14:00:00,2023-03-04 22:00:00,103.52,2.15,11,Material shortage caused brief stoppage.,8.0,0,0.9771,0.0203
69,303,2,67,2023-12-17,2023-12-17 14:00:00,2023-12-17 22:00:00,68.07,0.41,16,Material shortage caused brief stoppage.,8.0,0,0.9667,0.006
70,380,31,79,2024-11-12,2024-11-12 06:00:00,2024-11-12 14:00:00,34.95,1.04,18,Quality hold pending inspection.,8.0,0,0.9625,0.0289
71,79,9,64,2023-08-28,2023-08-28 22:00:00,2023-08-29 06:00:00,90.92,1.8,8,Quality hold pending inspection.,8.0,0,0.9833,0.0194
72,382,1,4,2023-02-27,2023-02-27 14:00:00,2023-02-27 22:00:00,116.66,2.89,59,Material shortage caused brief stoppage.,8.0,1,0.8771,0.0242
73,407,4,68,2024-07-15,2024-07-15 14:00:00,2024-07-15 22:00:00,141.07,4.04,11,Quality hold pending inspection.,8.0,0,0.9771,0.0278
74,308,16,56,2023-06-06,2023-06-06 14:00:00,2023-06-06 22:00:00,52.89,1.12,19,None,8.0,0,0.9604,0.0207
75,261,22,58,2024-04-04,2024-04-04 22:00:00,2024-04-05 06:00:00,79.66,0.74,10,Unscheduled machine downtime.,8.0,0,0.9792,0.0092
76,77,11,15,2023-10-10,2023-10-10 14:00:00,2023-10-10 22:00:00,10.34,1.94,14,Operator changeover mid-shift.,8.0,0,0.9708,0.158
77,150,3,12,2023-04-18,2023-04-18 22:00:00,2023-04-19 06:00:00,16.36,0.07,118,None,8.0,1,0.7542,0.0043
78,377,11,78,2024-06-23,2024-06-23 22:00:00,2024-06-24 06:00:00,117.95,0.54,17,Unscheduled machine downtime.,8.0,0,0.9646,0.0046
79,130,21,18,2023-03-19,2023-03-19 22:00:00,2023-03-20 06:00:00,121.53,3.18,168,None,8.0,1,0.65,0.0255
80,375,9,15,2024-12-30,2024-12-30 06:00:00,2024-12-30 14:00:00,147.03,1.72,4,Unscheduled machine downtime.,8.0,0,0.9917,0.0116
81,296,16,25,2025-08-17,2025-08-17 14:00:00,2025-08-17 22:00:00,35.74,0.27,15,Minor tooling adjustment required.,8.0,0,0.9688,0.0075
82,288,31,73,2023-06-05,2023-06-05 22:00:00,2023-06-06 06:00:00,35.01,0.21,12,Material shortage caused brief stoppage.,8.0,0,0.975,0.006
83,76,3,13,2024-11-16,2024-11-16 14:00:00,2024-11-16 22:00:00,25.6,3.53,15,Quality hold pending inspection.,8.0,0,0.9688,0.1212
84,240,4,43,2023-07-06,2023-07-06 14:00:00,2023-07-06 22:00:00,147.01,3.13,15,Minor tooling adjustment required.,8.0,0,0.9688,0.0208
85,465,8,77,2025-11-15,2025-11-15 06:00:00,2025-11-15 14:00:00,105.53,2.9,37,Minor tooling adjustment required.,8.0,1,0.9229,0.0267
86,195,34,53,2024-02-13,2024-02-13 22:00:00,2024-02-14 06:00:00,53.51,1.28,7,Unscheduled machine downtime.,8.0,0,0.9854,0.0234
87,471,14,53,2024-12-11,2024-12-11 14:00:00,2024-12-11 22:00:00,133.01,2.98,18,Material shortage caused brief stoppage.,8.0,0,0.9625,0.0219
88,221,4,45,2023-07-01,2023-07-01 14:00:00,2023-07-01 22:00:00,37.04,0.52,11,Material shortage caused brief stoppage.,8.0,0,0.9771,0.0138
89,368,3,75,2024-11-19,2024-11-19 06:00:00,2024-11-19 14:00:00,144.77,4.02,15,None,8.0,0,0.9688,0.027
90,203,21,69,2023-05-01,2023-05-01 06:00:00,2023-05-01 14:00:00,135.46,19.94,15,Material shortage caused brief stoppage.,8.0,0,0.9688,0.1283
91,6,27,8,2023-09-13,2023-09-13 14:00:00,2023-09-13 22:00:00,93.44,1.22,19,Minor tooling adjustment required.,8.0,0,0.9604,0.0129
92,416,16,43,2023-11-20,2023-11-20 14:00:00,2023-11-20 22:00:00,9.9,0.19,4,Material shortage caused brief stoppage.,8.0,0,0.9917,0.0188
93,216,32,75,2023-02-20,2023-02-20 22:00:00,2023-02-21 06:00:00,57.07,0.19,9,Quality hold pending inspection.,8.0,0,0.9812,0.0033
94,362,31,56,2024-12-19,2024-12-19 22:00:00,2024-12-20 06:00:00,48.99,4.37,40,Unscheduled machine downtime.,8.0,1,0.9167,0.0819
95,389,10,41,2025-06-05,2025-06-05 14:00:00,2025-06-05 22:00:00,60.09,1.41,12,Unscheduled machine downtime.,8.0,0,0.975,0.0229
96,496,17,69,2024-05-03,2024-05-03 06:00:00,2024-05-03 14:00:00,6.59,0.16,2,Operator changeover mid-shift.,8.0,0,0.9958,0.0237
97,291,35,8,2025-10-10,2025-10-10 14:00:00,2025-10-10 22:00:00,107.25,19.04,5,None,8.0,0,0.9896,0.1508
98,65,29,55,2024-09-26,2024-09-26 06:00:00,2024-09-26 14:00:00,15.57,0.16,1,Material shortage caused brief stoppage.,8.0,0,0.9979,0.0102
99,200,32,48,2023-06-27,2023-06-27 06:00:00,2023-06-27 14:00:00,38.64,0.94,5,Unscheduled machine downtime.,8.0,0,0.9896,0.0237
100,290,31,34,2025-04-11,2025-04-11 22:00:00,2025-04-12 06:00:00,110.83,0.86,8,None,8.0,0,0.9833,0.0077
101,423,8,20,2023-04-18,2023-04-18 14:00:00,2023-04-18 22:00:00,113.94,1.62,151,Minor tooling adjustment required.,8.0,1,0.6854,0.014
102,148,31,3,2025-11-24,2025-11-24 06:00:00,2025-11-24 14:00:00,14.88,0.13,19,Minor tooling adjustment required.,8.0,0,0.9604,0.0087
103,237,27,66,2024-07-14,2024-07-14 14:00:00,2024-07-14 22:00:00,84.75,0.1,216,Unscheduled machine downtime.,8.0,1,0.55,0.0012
104,245,5,49,2024-05-12,2024-05-12 22:00:00,2024-05-13 06:00:00,122.85,3.53,172,None,8.0,1,0.6417,0.0279
105,97,15,31,2025-03-19,2025-03-19 14:00:00,2025-03-19 22:00:00,9.63,0.16,1,None,8.0,0,0.9979,0.0163
106,248,25,28,2024-04-06,2024-04-06 06:00:00,2024-04-06 14:00:00,119.33,2.41,0,Material shortage caused brief stoppage.,8.0,0,1.0,0.0198
107,269,30,20,2023-02-17,2023-02-17 06:00:00,2023-02-17 14:00:00,34.45,0.76,3,None,8.0,0,0.9938,0.0216
108,174,31,40,2025-05-08,2025-05-08 14:00:00,2025-05-08 22:00:00,114.56,0.69,3,None,8.0,0,0.9938,0.006
109,441,12,40,2024-01-15,2024-01-15 06:00:00,2024-01-15 14:00:00,61.1,0.32,4,Operator changeover mid-shift.,8.0,0,0.9917,0.0052
110,325,15,78,2023-12-02,2023-12-02 14:00:00,2023-12-02 22:00:00,91.48,4.96,15,None,8.0,0,0.9688,0.0514
111,321,22,45,2025-04-28,2025-04-28 22:00:00,2025-04-29 06:00:00,63.57,0.17,135,Material shortage caused brief stoppage.,8.0,1,0.7188,0.0027
112,89,1,79,2024-02-06,2024-02-06 14:00:00,2024-02-06 22:00:00,34.58,6.21,8,Minor tooling adjustment required.,8.0,0,0.9833,0.1522
113,313,4,8,2023-07-22,2023-07-22 14:00:00,2023-07-22 22:00:00,10.52,0.14,18,Quality hold pending inspection.,8.0,0,0.9625,0.0131
114,281,14,44,2023-03-03,2023-03-03 14:00:00,2023-03-03 22:00:00,14.63,0.94,5,None,8.0,0,0.9896,0.0604
115,206,30,24,2025-07-14,2025-07-14 14:00:00,2025-07-14 22:00:00,16.84,0.17,4,Minor tooling adjustment required.,8.0,0,0.9917,0.01
116,459,30,45,2024-10-29,2024-10-29 06:00:00,2024-10-29 14:00:00,139.3,2.51,14,None,8.0,0,0.9708,0.0177
117,58,28,44,2024-05-24,2024-05-24 22:00:00,2024-05-25 06:00:00,148.24,12.76,2,Quality hold pending inspection.,8.0,0,0.9958,0.0793
118,303,8,2,2023-12-15,2023-12-15 22:00:00,2023-12-16 06:00:00,25.47,0.04,17,Minor tooling adjustment required.,8.0,0,0.9646,0.0016
119,96,17,1,2023-01-11,2023-01-11 06:00:00,2023-01-11 14:00:00,19.84,0.32,4,None,8.0,0,0.9917,0.0159
120,250,6,41,2024-03-29,2024-03-29 06:00:00,2024-03-29 14:00:00,98.46,1.96,15,Unscheduled machine downtime.,8.0,0,0.9688,0.0195
121,389,5,19,2025-06-16,2025-06-16 06:00:00,2025-06-16 14:00:00,62.66,4.68,4,Material shortage caused brief stoppage.,8.0,0,0.9917,0.0695
122,325,1,1,2023-12-12,2023-12-12 14:00:00,2023-12-12 22:00:00,105.44,7.45,15,Material shortage caused brief stoppage.,8.0,0,0.9688,0.066
123,4,29,71,2025-03-25,2025-03-25 06:00:00,2025-03-25 14:00:00,115.91,2.71,48,None,8.0,1,0.9,0.0228
124,445,24,68,2025-08-04,2025-08-04 06:00:00,2025-08-04 14:00:00,51.54,0.86,9,Quality hold pending inspection.,8.0,0,0.9812,0.0164
125,368,27,7,2024-11-22,2024-11-22 06:00:00,2024-11-22 14:00:00,80.83,1.07,3,Operator changeover mid-shift.,8.0,0,0.9938,0.0131
126,358,17,6,2025-12-02,2025-12-02 06:00:00,2025-12-02 14:00:00,50.19,0.76,11,Unscheduled machine downtime.,8.0,0,0.9771,0.0149
127,414,13,5,2025-02-04,2025-02-04 06:00:00,2025-02-04 14:00:00,74.58,1.32,59,None,8.0,1,0.8771,0.0174
128,179,24,27,2025-10-04,2025-10-04 06:00:00,2025-10-04 14:00:00,62.55,1.68,225,None,8.0,1,0.5312,0.0262
129,232,33,22,2023-11-02,2023-11-02 06:00:00,2023-11-02 14:00:00,91.63,0.12,19,Minor tooling adjustment required.,8.0,0,0.9604,0.0013
130,113,32,16,2025-09-23,2025-09-23 14:00:00,2025-09-23 22:00:00,77.89,1.11,4,Operator changeover mid-shift.,8.0,0,0.9917,0.0141
131,71,27,71,2024-12-31,2024-12-31 22:00:00,2025-01-01 06:00:00,85.06,2.39,4,None,8.0,0,0.9917,0.0273
132,338,20,72,2024-03-30,2024-03-30 14:00:00,2024-03-30 22:00:00,57.35,1.41,6,None,8.0,0,0.9875,0.024
133,148,16,29,2025-11-09,2025-11-09 06:00:00,2025-11-09 14:00:00,120.03,3.47,91,Unscheduled machine downtime.,8.0,1,0.8104,0.0281
134,417,7,41,2024-01-18,2024-01-18 06:00:00,2024-01-18 14:00:00,109.24,2.52,17,Operator changeover mid-shift.,8.0,0,0.9646,0.0225
135,26,11,39,2023-07-12,2023-07-12 22:00:00,2023-07-13 06:00:00,90.76,1.11,16,Quality hold pending inspection.,8.0,0,0.9667,0.0121
136,157,31,73,2023-09-20,2023-09-20 22:00:00,2023-09-21 06:00:00,18.75,0.56,11,None,8.0,0,0.9771,0.029
137,488,23,46,2023-03-31,2023-03-31 22:00:00,2023-04-01 06:00:00,126.94,0.55,4,None,8.0,0,0.9917,0.0043
138,118,23,75,2025-02-15,2025-02-15 06:00:00,2025-02-15 14:00:00,38.42,0.61,9,Quality hold pending inspection.,8.0,0,0.9812,0.0156
139,455,35,3,2025-09-16,2025-09-16 14:00:00,2025-09-16 22:00:00,142.91,0.56,6,Quality hold pending inspection.,8.0,0,0.9875,0.0039
140,260,7,59,2023-12-20,2023-12-20 14:00:00,2023-12-20 22:00:00,52.89,4.3,10,Operator changeover mid-shift.,8.0,0,0.9792,0.0752
141,458,15,79,2023-05-23,2023-05-23 22:00:00,2023-05-24 06:00:00,108.03,1.32,2,Minor tooling adjustment required.,8.0,0,0.9958,0.0121
142,223,20,77,2024-12-10,2024-12-10 22:00:00,2024-12-11 06:00:00,125.45,0.91,9,Unscheduled machine downtime.,8.0,0,0.9812,0.0072
143,415,9,7,2023-09-29,2023-09-29 06:00:00,2023-09-29 14:00:00,28.32,2.41,7,Minor tooling adjustment required.,8.0,0,0.9854,0.0784
144,458,4,39,2023-05-18,2023-05-18 06:00:00,2023-05-18 14:00:00,91.88,1.0,4,None,8.0,0,0.9917,0.0108
145,61,27,68,2023-04-17,2023-04-17 14:00:00,2023-04-17 22:00:00,90.02,14.32,5,None,8.0,0,0.9896,0.1372
146,125,15,32,2023-07-10,2023-07-10 22:00:00,2023-07-11 06:00:00,24.24,0.63,3,None,8.0,0,0.9938,0.0253
147,109,19,74,2025-11-24,2025-11-24 06:00:00,2025-11-24 14:00:00,137.16,3.02,16,None,8.0,0,0.9667,0.0215
148,111,9,36,2024-09-21,2024-09-21 22:00:00,2024-09-22 06:00:00,44.59,1.06,158,Minor tooling adjustment required.,8.0,1,0.6708,0.0232
149,250,3,36,2024-04-10,2024-04-10 06:00:00,2024-04-10 14:00:00,144.86,1.38,212,None,8.0,1,0.5583,0.0094
150,238,22,14,2025-03-16,2025-03-16 22:00:00,2025-03-17 06:00:00,69.1,0.33,18,None,8.0,0,0.9625,0.0048
151,128,27,36,2024-02-14,2024-02-14 06:00:00,2024-02-14 14:00:00,42.88,1.17,1,None,8.0,0,0.9979,0.0266
152,379,30,52,2023-12-08,2023-12-08 06:00:00,2023-12-08 14:00:00,71.97,1.72,7,None,8.0,0,0.9854,0.0233
153,60,2,56,2025-11-03,2025-11-03 22:00:00,2025-11-04 06:00:00,73.16,8.11,4,None,8.0,0,0.9917,0.0998
154,142,6,14,2023-09-06,2023-09-06 22:00:00,2023-09-07 06:00:00,77.07,1.36,10,Material shortage caused brief stoppage.,8.0,0,0.9792,0.0173
155,332,8,22,2024-09-14,2024-09-14 06:00:00,2024-09-14 14:00:00,95.15,0.43,33,None,8.0,1,0.9312,0.0045
156,193,19,9,2024-12-09,2024-12-09 14:00:00,2024-12-09 22:00:00,30.47,0.69,235,Unscheduled machine downtime.,8.0,1,0.5104,0.0221
157,385,27,54,2024-06-12,2024-06-12 22:00:00,2024-06-13 06:00:00,62.24,1.33,19,Material shortage caused brief stoppage.,8.0,0,0.9604,0.0209
158,343,24,64,2025-11-29,2025-11-29 06:00:00,2025-11-29 14:00:00,86.61,2.35,10,Unscheduled machine downtime.,8.0,0,0.9792,0.0264
159,198,5,30,2024-07-27,2024-07-27 06:00:00,2024-07-27 14:00:00,67.85,0.66,189,Material shortage caused brief stoppage.,8.0,1,0.6062,0.0096
160,114,12,77,2025-07-29,2025-07-29 06:00:00,2025-07-29 14:00:00,105.73,1.06,19,Minor tooling adjustment required.,8.0,0,0.9604,0.0099
161,432,15,78,2024-03-13,2024-03-13 22:00:00,2024-03-14 06:00:00,59.31,0.73,115,None,8.0,1,0.7604,0.0122
162,459,10,21,2024-11-05,2024-11-05 22:00:00,2024-11-06 06:00:00,5.42,0.08,13,Minor tooling adjustment required.,8.0,0,0.9729,0.0145
163,188,16,36,2023-05-03,2023-05-03 14:00:00,2023-05-03 22:00:00,36.04,0.4,19,Quality hold pending inspection.,8.0,0,0.9604,0.011
164,423,11,35,2023-05-14,2023-05-14 14:00:00,2023-05-14 22:00:00,142.42,3.86,0,Quality hold pending inspection.,8.0,0,1.0,0.0264
165,54,15,74,2025-10-08,2025-10-08 22:00:00,2025-10-09 06:00:00,54.32,0.56,8,None,8.0,0,0.9833,0.0102
166,216,29,57,2023-03-02,2023-03-02 06:00:00,2023-03-02 14:00:00,143.53,0.89,0,Minor tooling adjustment required.,8.0,0,1.0,0.0062
167,3,9,33,2023-05-01,2023-05-01 22:00:00,2023-05-02 06:00:00,72.32,0.78,2,None,8.0,0,0.9958,0.0107
168,120,3,2,2023-08-10,2023-08-10 22:00:00,2023-08-11 06:00:00,12.7,0.36,11,None,8.0,0,0.9771,0.0276
169,341,19,2,2024-02-06,2024-02-06 22:00:00,2024-02-07 06:00:00,81.74,0.9,186,Operator changeover mid-shift.,8.0,1,0.6125,0.0109
170,364,25,59,2024-11-28,2024-11-28 22:00:00,2024-11-29 06:00:00,56.9,3.43,11,Operator changeover mid-shift.,8.0,0,0.9771,0.0569
171,188,10,62,2023-05-12,2023-05-12 14:00:00,2023-05-12 22:00:00,95.01,0.02,5,Quality hold pending inspection.,8.0,0,0.9896,0.0002
172,469,11,74,2025-10-15,2025-10-15 06:00:00,2025-10-15 14:00:00,67.09,1.79,174,None,8.0,1,0.6375,0.026
173,68,21,43,2025-08-05,2025-08-05 14:00:00,2025-08-05 22:00:00,77.55,0.39,14,Operator changeover mid-shift.,8.0,0,0.9708,0.005
174,150,13,1,2023-04-04,2023-04-04 14:00:00,2023-04-04 22:00:00,61.59,0.69,12,None,8.0,0,0.975,0.0111
175,38,1,28,2024-09-13,2024-09-13 14:00:00,2024-09-13 22:00:00,146.62,2.98,7,None,8.0,0,0.9854,0.0199
176,131,4,75,2025-10-18,2025-10-18 06:00:00,2025-10-18 14:00:00,102.71,0.53,204,None,8.0,1,0.575,0.0051
177,71,15,40,2025-01-11,2025-01-11 22:00:00,2025-01-12 06:00:00,95.08,1.92,0,Minor tooling adjustment required.,8.0,0,1.0,0.0198
178,198,24,50,2024-07-21,2024-07-21 14:00:00,2024-07-21 22:00:00,70.23,1.41,5,Operator changeover mid-shift.,8.0,0,0.9896,0.0197
179,103,3,49,2024-08-27,2024-08-27 22:00:00,2024-08-28 06:00:00,28.11,0.8,17,Operator changeover mid-shift.,8.0,0,0.9646,0.0277
180,293,19,79,2023-12-06,2023-12-06 06:00:00,2023-12-06 14:00:00,110.85,21.44,62,Material shortage caused brief stoppage.,8.0,1,0.8708,0.1621
